Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
GIRLS OF PAPER AND FIRE,Natasha Ngan,jimmy patterson,Hachette Book,9.78E+12,Young Adult Hardcover,1/20/19,9
BRIDGE OF CLAY,Markus Zusak,Knopf,Penguin Random House,9.78E+12,Young Adult Hardcover,1/20/19,13
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,21
VENGEANCE ROAD,Christine Feehan,Berkley,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
THE LOST GIRLS OF PARIS,Pam Jenoff,Park Row,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,2/17/19,21
THE WRONG HIGHLANDER,Lynsay Sands,Avon,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
AN ANONYMOUS GIRL,Greer Hendricks and Sarah Pekkanen,St. Martin's,Macmillan Publishers,9.78E+12,Combined Print and E-Book Fiction,2/17/19,4
THE RECKONING,John Grisham,Doubleday,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,15
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,24
LIAR LIAR,James Patterson and Candice Fox,"Little, Brown",Hachette Book,9.78E+12,Combined Print and E-Book Fiction,2/17/19,3
FREE,Kristen Ashley,Kristen Ashley,Macmillan,,Combined Print and E-Book Fiction,2/17/19,1
MAGIC HOUR,Kristin Hannah,Ballantine,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
CRUCIBLE,James Rollins,Morrow,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,2/17/19,2
JUDGMENT,Joseph Finder,Dutton,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
TURNING POINT,Danielle Steel,Delacorte,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,2/17/19,4
OUT OF THE DARK,Gregg Hurwitz,Minotaur,Simon & Schuster,9.78E+12,Combined Print and E-Book Fiction,2/17/19,1
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,12
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,50
TEAM OF VIPERS,Cliff Sims,Thomas Dunne/St. Martin’s,Macmillan Publishers,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,1
FROM THE GROUND UP,Howard Schultz with Joanne Gordon,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,1
LET ME FINISH,Chris Christie with Ellis Henican,Hachette,Hachette Book,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,1
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,26
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,Macmillan Publishers,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,4
SAPIENS,Yuval Noah Harari,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,58
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,Bloomsbury Publishing,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,3
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,4
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,Simon & Schuster,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,11
SHAMELESS,Nadia Bolz-Weber,Convergent,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,1
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,Thomas Nelson,HarperCollins,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,1
FASCISM: A Warning,Madeleine Albright with Bill Woodward,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,6
MAID,Stephanie Land,Hachette,Hachette Book,9.78E+12,Combined Print and E-Book Nonfiction,2/17/19,2
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,22
AN ANONYMOUS GIRL,Greer Hendricks and Sarah Pekkanen,St. Martin's,Macmillan Publishers,9.78E+12,Hardcover Fiction,2/17/19,4
THE RECKONING,John Grisham,Doubleday,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,15
LIAR LIAR,James Patterson and Candice Fox,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,2/17/19,3
CRUCIBLE,James Rollins,Morrow,HarperCollins,9.78E+12,Hardcover Fiction,2/17/19,2
FIRE AND BLOOD,George R.R. Martin,Bantam,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,11
CIRCE,Madeline Miller,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,2/17/19,9
TURNING POINT,Danielle Steel,Delacorte,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,4
THE ONLY WOMAN IN THE ROOM,Marie Benedict,Sourcebooks Landmark,Sourcebooks,9.78E+12,Hardcover Fiction,2/17/19,4
DEVOTIONS,Mary Oliver,Penguin Press,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,1
THE NEW IBERIA BLUES,James Lee Burke,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Fiction,2/17/19,4
NINE PERFECT STRANGERS,Liane Moriarty,Flatiron,Macmillan Publishers,9.78E+12,Hardcover Fiction,2/17/19,13
EVERY BREATH,Nicholas Sparks,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,2/17/19,16
JUDGMENT,Joseph Finder,Dutton,Penguin Random House,9.78E+12,Hardcover Fiction,2/17/19,1
OUT OF THE DARK,Gregg Hurwitz,Minotaur,Simon & Schuster,9.78E+12,Hardcover Fiction,2/17/19,1
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,12
