Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
THE KITE RUNNER,Khaled Hosseini,Riverhead,1594481776,9.78159E+12,Trade Fiction Paperback,4/12/09,78,Penguin Random House
THE NO. 1 LADIES' DETECTIVE AGENCY,Alexander McCall Smith,Anchor,307456633,9.78031E+12,Trade Fiction Paperback,4/12/09,1,Penguin Random House
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,143038257,9.78014E+12,Paperback Nonfiction,4/12/09,113,Penguin Random House
THE MIDDLE PLACE,Kelly Corrigan,Voice,1401340938,9.7814E+12,Paperback Nonfiction,4/12/09,14,
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,806527285,9.78081E+12,Paperback Nonfiction,4/12/09,78,Kensington Publishing Corp.
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,143058525,9.78014E+12,Paperback Nonfiction,4/12/09,114,Penguin Random House
DREAMS FROM MY FATHER,Barack Obama,Three Rivers,1400082773,9.7814E+12,Paperback Nonfiction,4/12/09,141,Penguin Random House
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",316346624,9.78032E+12,Paperback Nonfiction,4/12/09,234,Hachette Book
90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,Revell,800759494,9.7808E+12,Paperback Nonfiction,4/12/09,127,
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,1582346186,9.78158E+12,Paperback Nonfiction,4/12/09,24,Bloomsbury Publishing
THE AUDACITY OF HOPE,Barack Obama,Three Rivers,307237702,9.78031E+12,Paperback Nonfiction,4/12/09,66,Penguin Random House
EMERGENCY,Neil Strauss,Harper,60898771,9.78006E+12,Paperback Nonfiction,4/12/09,3,HarperCollins
THE SOLOIST,Steve Lopez,Berkley,042522600X,9.78043E+12,Paperback Nonfiction,4/12/09,3,Penguin Random House
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",316010669,9.78032E+12,Paperback Nonfiction,4/12/09,76,Hachette Book
SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,Nelson,084991910X,9.78085E+12,Paperback Nonfiction,4/12/09,24,
TEAM OF RIVALS,Doris Kearns Goodwin,Simon & Schuster,743270754,9.78074E+12,Paperback Nonfiction,4/12/09,35,Simon & Schuster
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,143038583,9.78014E+12,Paperback Nonfiction,4/12/09,80,Penguin Random House
MARLEY AND ME,John Grogan,Harper,61238228,9.78006E+12,Paperback Nonfiction,4/12/09,55,HarperCollins
THE FORGOTTEN MAN: GRAPHIC EDITION,"Amity Shlaes, Paul Rivoche and Chuck Dixon",Harper Perennial,60936428,9.78006E+12,Paperback Nonfiction,4/12/09,20,HarperCollins
THE GOD DELUSION,Richard Dawkins,Mariner,618918248,9.78062E+12,Paperback Nonfiction,4/12/09,29,HarperCollins
A WHOLE NEW MIND,Daniel H Pink,Riverhead,1594481717,9.78159E+12,Paperback Nonfiction,4/12/09,28,Penguin Random House
"CHANGE YOUR BRAIN, CHANGE YOUR LIFE",Daniel G Amen,Three Rivers,812929985,9.78081E+12,Paperback Nonfiction,4/12/09,19,Penguin Random House
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth,Dial,803730586,9.7808E+12,Picture Books,4/12/09,10,Penguin Random House
THE HOUSE IN THE NIGHT,Susan Marie Swanson,Houghton Mifflin,618862447,9.78062E+12,Picture Books,4/12/09,8,
BLUEBERRY GIRL,Neil Gaiman,HarperCollins,60838086,9.78006E+12,Picture Books,4/12/09,3,HarperCollins
THE VERY HUNGRY CATERPILLAR,Eric Carle,Philomel,399250395,9.7804E+12,Picture Books,4/12/09,2,Penguin Random House
GALLOP!,Rufus Butler Seder,Workman,761147632,9.78076E+12,Picture Books,4/12/09,72,Hachette Book
NAKED MOLE RAT GETS DRESSED,Mo Willems,Disney-Hyperion,142311437X,9.78142E+12,Picture Books,4/12/09,12,Disney Publishing Worldwide
THE COMPOSER IS DEAD,Lemony Snicket,HarperCollins,61236276,9.78006E+12,Picture Books,4/12/09,4,HarperCollins
LADYBUG GIRL AND BUMBLEBEE BOY,David Soman and Jacky Davis,Dial,803733399,9.7808E+12,Picture Books,4/12/09,4,Penguin Random House
SWING!,Rufus Butler Seder,Workman,761151273,9.78076E+12,Picture Books,4/12/09,24,Hachette Book
CAT,written  Matthew Van Fleet and photographed  Brian Stanton,Wiseman/Simon & Schuster,1416978003,9.78142E+12,Picture Books,4/12/09,7,
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",316160202,9.78032E+12,Series Books,4/12/09,86,Hachette Book
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,810994739,9.78081E+12,Series Books,4/12/09,11,Abrams
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,312379838,9.78031E+12,Series Books,4/12/09,31,Macmillan Publishers
THE MORTAL INSTRUMENTS,Cassandra Clare,McElderry/Simon & Schuster,1416972242,9.78142E+12,Series Books,4/12/09,1,
MAXIMUM RIDE,James Patterson,"Little Brown, hardcover and paper",446618896,9.78045E+12,Series Books,4/12/09,47,
FABLEHAVEN,Brandon Mull,"Shadow Mountain/Aladdin, hardcover and paperback",1590388984,9.78159E+12,Series Books,4/12/09,5,
THE 39 CLUES,various authors,Scholastic,545060435,9.78055E+12,Series Books,4/12/09,4,Scholastic
MAGIC TREE HOUSE,Mary Pope Osborne.,"Stepping Stone/Random House, hardcover and paper",067989070X,9.78068E+12,Series Books,4/12/09,204,
NIGHT WORLD,L J Smith,Simon Pulse,1416974504,9.78142E+12,Series Books,4/12/09,17,
HARRY POTTER,J.K. Rowling,"Arthur A. Levine/Scholastic, hardcover and paper",059035342X,9.78059E+12,Series Books,4/12/09,217,
PROMISES IN DEATH,J D Robb,Putnam,399155481,9.7804E+12,Hardcover Fiction,3/15/09,1,Penguin Random House
THE ASSOCIATE,John Grisham,Doubleday,385517831,9.78039E+12,Hardcover Fiction,3/15/09,5,Penguin Random House
"WHITE WITCH, BLACK CURSE",Kim Harrison,Eos/William Morrow,61138010,9.78006E+12,Hardcover Fiction,3/15/09,1,
ONE DAY AT A TIME,Danielle Steel,Delacorte,739328247,9.78074E+12,Hardcover Fiction,3/15/09,1,Penguin Random House
RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,"Little, Brown",316018740,9.78032E+12,Hardcover Fiction,3/15/09,4,Hachette Book
NIGHT AND DAY,Robert B Parker,Putnam,399155414,9.7804E+12,Hardcover Fiction,3/15/09,1,Penguin Random House
HEART AND SOUL,Maeve Binchy,Knopf,030726579X,9.78031E+12,Hardcover Fiction,3/15/09,2,Penguin Random House
THE HOST,Stephenie Meyer,"Little, Brown",316068047,9.78032E+12,Hardcover Fiction,3/15/09,42,Hachette Book
TERMINAL FREEZE,Lincoln Child,Doubleday,385515510,9.78039E+12,Hardcover Fiction,3/15/09,1,Penguin Random House
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,385340990,9.78039E+12,Hardcover Fiction,3/15/09,24,Penguin Random House
FOOL,Christopher Moore,Morrow,60590319,9.78006E+12,Hardcover Fiction,3/15/09,3,HarperCollins
CREAM PUFF MURDER,Joanne Fluke,Kensington,758210221,9.78076E+12,Hardcover Fiction,3/15/09,1,Kensington Publishing Corp.
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,61374229,9.78006E+12,Hardcover Fiction,3/15/09,38,HarperCollins
