,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
139,GRAIN BRAIN,David Perlmutter with Kristin Loberg,"Little, Brown",031623480X,9780316234801,Advice How-To and Miscellaneous,2015-06-21,0
140,I WILL TAKE A NAP!,Mo Willems,Hyperion,1484716302,9781484716304,Picture Books,2015-06-21,1
141,THE BOOK WITH NO PICTURES,B.J. Novak,Dial,0803741715,9780803741713,Picture Books,2015-06-21,36
142,THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,0399255370,9780399255373,Picture Books,2015-06-21,102
143,PRESS HERE,Hervé Tullet,Handprint/Chronicle,0811879542,9780811879545,Picture Books,2015-06-21,195
144,WAITING IS NOT EASY!,Mo Willems,Hyperion,142319957X,9781423199571,Picture Books,2015-06-21,27
145,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,0811877825,9780811877824,Picture Books,2015-06-21,192
146,DRAGONS LOVE TACOS,Adam Rubin.,Dial,0803736800,9780803736801,Picture Books,2015-06-21,72
147,"ROSIE REVERE, ENGINEER",Andrea Beaty,Abrams,1419708457,9781419708459,Picture Books,2015-06-21,52
148,THE ADVENTURES OF BEEKLE,Dan Santat,"Little, Brown",0316199982,9780316199988,Picture Books,2015-06-21,15
149,I WISH YOU MORE,Amy Krouse Rosenthal.,Chronicle,1452126992,9781452126999,Picture Books,2015-06-21,8
150,DORK DIARIES,Rachel Renée Russell,Simon & Schuster,1442487690,9781442487697,Series Books,2015-06-21,125
151,THE MAZE RUNNER,James Dashner,Random House Publishing,0385738765,9780385738767,Series Books,2015-06-21,139
152,THE SELECTION,Kiera Cass,HarperTeen,0062349872,9780062349873,Series Books,2015-06-21,42
153,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9780590353427,Series Books,2015-06-21,325
154,DIVERGENT,Veronica Roth,HarperCollins Publishers,006202406X,9780062024060,Series Books,2015-06-21,85
155,THRONE OF GLASS,Sarah J. Maas,Bloomsbury,1599909391,9781599909394,Series Books,2015-06-21,3
156,GIVER QUARTET,Lois Lowry,Houghton Mifflin Harcourt Publishing,0544336267,9780544336261,Series Books,2015-06-21,83
157,DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams Books,141971189X,9781419711893,Series Books,2015-06-21,326
158,HEROES OF OLYMPUS,Rick Riordan,Disney Publishing Worldwide,1484709888,9781484709887,Series Books,2015-06-21,105
159,MAXIMUM RIDE,James Patterson,"Little, Brown & Company",None,9780316384889,Series Books,2015-06-21,81
160,14TH DEADLY SIN,James Patterson and Maxine Paetro,"Little, Brown",031640876X,9780316408769,Combined Print and E-Book Fiction,2015-05-24,1
161,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,0698185390,9780698185395,Combined Print and E-Book Fiction,2015-05-24,17
162,MEMORY MAN,David Baldacci,Grand Central,1455586382,9781455586387,Combined Print and E-Book Fiction,2015-05-24,3
163,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1476746583,9781476746586,Combined Print and E-Book Fiction,2015-05-24,34
164,GATHERING PREY,John Sandford,Putnam,None,9780698152519,Combined Print and E-Book Fiction,2015-05-24,2
165,CAT'S LAIR,Christine Feehan,Jove,None,9780698180512,Combined Print and E-Book Fiction,2015-05-24,1
166,THE LIAR,Nora Roberts,Putnam,None,9780698161351,Combined Print and E-Book Fiction,2015-05-24,4
167,THE NIGHTINGALE,Kristin Hannah,St. Martin's,1466850604,9781466850606,Combined Print and E-Book Fiction,2015-05-24,14
168,A GOD IN RUINS,Kate Atkinson,"Little, Brown",031634155X,9780316341554,Combined Print and E-Book Fiction,2015-05-24,1
169,THE FALL,John Lescroart,Atria,,9781476709239,Combined Print and E-Book Fiction,2015-05-24,1
170,THE BONE TREE,Greg Iles,Morrow/HarperCollins,006231114X,9780062311146,Combined Print and E-Book Fiction,2015-05-24,3
171,THE INN AT ROSE HARBOR,Debbie Macomber,Random House Publishing,0345535111,9780345535115,Combined Print and E-Book Fiction,2015-05-24,5
172,WICKED BUSINESS,Janet Evanovich,Random House Publishing,034552778X,9780345527783,Combined Print and E-Book Fiction,2015-05-24,4
173,THE STRANGER,Harlan Coben,Dutton,0698186206,9780698186200,Combined Print and E-Book Fiction,2015-05-24,7
174,PERSONAL,Lee Child,Delacorte,0804178755,9780804178754,Combined Print and E-Book Fiction,2015-05-24,9
175,PUCKED,Helena Hunting,Helena Hunting,None,9780993800146,Combined Print and E-Book Fiction,2015-05-24,0
176,OUTLANDER,Diana Gabaldon,Dell,0440335167,9780440335160,Combined Print and E-Book Fiction,2015-05-24,0
177,EVERY FIFTEEN MINUTES,Lisa Scottoline,St. Martin's,None,9781466874619,Combined Print and E-Book Fiction,2015-05-24,0
178,LEAVING TIME,Jodi Picoult,Ballantine,0345544943,9780345544940,Combined Print and E-Book Fiction,2015-05-24,0
179,DAY SHIFT,Charlaine Harris,Ace,None,9781101598818,Combined Print and E-Book Fiction,2015-05-24,0
180,THE WRIGHT BROTHERS,David McCullough,Simon & Schuster,1476728747,9781476728742,Combined Print and E-Book Nonfiction,2015-05-24,1
181,CLINTON CASH,Peter Schweizer,Harper/HarperCollins,0062369288,9780062369284,Combined Print and E-Book Nonfiction,2015-05-24,1
182,HOPE,Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan,Viking,0525427651,9780525427650,Combined Print and E-Book Nonfiction,2015-05-24,2
183,THE BOOK OF JOAN,Melissa Rivers,Crown Archetype,1101903821,9781101903827,Combined Print and E-Book Nonfiction,2015-05-24,1
184,IT'S A LONG STORY,Willie Nelson with David Ritz,"Little, Brown",0316403555,9780316403559,Combined Print and E-Book Nonfiction,2015-05-24,1
185,AND THE GOOD NEWS IS ...,Dana Perino,Twelve,1455584908,9781455584901,Combined Print and E-Book Nonfiction,2015-05-24,3
186,AMERICAN WIFE,Taya Kyle with Jim DeFelice,Morrow/HarperCollins,0062398083,9780062398086,Combined Print and E-Book Nonfiction,2015-05-24,1
187,THE ROAD TO CHARACTER,David Brooks,Random House,081299325X,9780812993257,Combined Print and E-Book Nonfiction,2015-05-24,4
188,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,0143125478,9780143125471,Combined Print and E-Book Nonfiction,2015-05-24,51
189,DEAD WAKE,Erik Larson,Crown,0307408868,9780307408860,Combined Print and E-Book Nonfiction,2015-05-24,9
190,BILL O'REILLY'S LEGENDS AND LIES,David Fisher,Holt,1627795073,9781627795074,Combined Print and E-Book Nonfiction,2015-05-24,5
191,AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,0062376330,9780062376336,Combined Print and E-Book Nonfiction,2015-05-24,64
192,FINDING ME,Michelle Knight with Michelle Burford Weinstein,Weinstein Books,None,9781602862579,Combined Print and E-Book Nonfiction,2015-05-24,8
193,MISSOULA,Jon Krakauer,Doubleday,0385538731,9780385538732,Combined Print and E-Book Nonfiction,2015-05-24,3
194,DEAL,Bill Kreutzmann with Benjy Eisen,St. Martin's,1250033799,9781250033796,Combined Print and E-Book Nonfiction,2015-05-24,1
195,BEING MORTAL,Atul Gawande,Metropolitan/Holt,0805095152,9780805095159,Combined Print and E-Book Nonfiction,2015-05-24,0
196,THE RESIDENCE,Kate Andersen Brower,Harper,0062305190,9780062305190,Combined Print and E-Book Nonfiction,2015-05-24,0
197,WILD,Cheryl Strayed,Knopf,0307957659,9780307957658,Combined Print and E-Book Nonfiction,2015-05-24,0
198,WHEN TO ROB A BANK,Steven D Levitt and Stephen J Dubner,Morrow,0062385321,9780062385321,Combined Print and E-Book Nonfiction,2015-05-24,0
199,PIONEER GIRL,Laura Ingalls Wilder,South Dakota Historical Society Press,0984504176,9780984504176,Combined Print and E-Book Nonfiction,2015-05-24,0
200,14TH DEADLY SIN,James Patterson and Maxine Paetro,"Little, Brown",031640702X,9780316407021,Hardcover Fiction,2015-05-24,1
201,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,1594633665,9781594633669,Hardcover Fiction,2015-05-24,17
202,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1476746583,9781476746586,Hardcover Fiction,2015-05-24,53
203,MEMORY MAN,David Baldacci,Grand Central,1455559822,9781455559824,Hardcover Fiction,2015-05-24,3
204,GATHERING PREY,John Sandford,Putnam,0399168796,9780399168796,Hardcover Fiction,2015-05-24,2
205,A GOD IN RUINS,Kate Atkinson,"Little, Brown",0316176532,9780316176538,Hardcover Fiction,2015-05-24,1
206,THE BONE TREE,Greg Iles,Morrow/HarperCollins,0062311115,9780062311115,Hardcover Fiction,2015-05-24,3
207,THE NIGHTINGALE,Kristin Hannah,St. Martin's,0312577222,9780312577223,Hardcover Fiction,2015-05-24,14
208,GOD HELP THE CHILD,Toni Morrison,Knopf,0307594173,9780307594174,Hardcover Fiction,2015-05-24,3
