,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
204,THE LOST GIRLS OF WILLOWBROOK,Ellen Marie Wiseman,Kensington,1496715888,9781496715883,Trade Fiction Paperback,2022-09-25,2
205,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2022-09-25,203
206,THE DAUGHTER OF AUSCHWITZ,Tova Friedman and Malcolm Brabant,Hanover Square,1335449302,9781335449306,Paperback Nonfiction,2022-09-25,1
207,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2022-09-25,126
208,EDUCATED,Tara Westover,Random House,0399590528,9780399590528,Paperback Nonfiction,2022-09-25,31
209,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Paperback Nonfiction,2022-09-25,40
210,BORN A CRIME,Trevor Noah,One World,0399588191,9780399588198,Paperback Nonfiction,2022-09-25,173
211,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,0316299227,9780316299220,Paperback Nonfiction,2022-09-25,50
212,JUST MERCY,Bryan Stevenson,One World,081298496X,9780812984965,Paperback Nonfiction,2022-09-25,293
213,THE BOMBER MAFIA,Malcolm Gladwell,Back Bay,0316296813,9780316296816,Paperback Nonfiction,2022-09-25,14
214,FUZZ,Mary Roach,Norton,1324036125,9781324036128,Paperback Nonfiction,2022-09-25,2
215,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2022-09-25,332
