,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2089,WALK THE WIRE,David Baldacci,Grand Central,1538761475,9781538761472,Combined Print and E-Book Fiction,2020-10-25,10
2090,THE COAST-TO-COAST MURDERS,James Patterson and J.D. Barker,"Little, Brown",0316457426,9780316457422,Combined Print and E-Book Fiction,2020-10-25,3
2091,THE VANISHING HALF,Brit Bennett,Riverhead,0525536299,9780525536291,Combined Print and E-Book Fiction,2020-10-25,19
2092,THE GUEST LIST,Lucy Foley,Morrow,0062868934,9780062868930,Combined Print and E-Book Fiction,2020-10-25,18
2093,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219095,9780735219090,Combined Print and E-Book Fiction,2020-10-25,108
2094,VINCE FLYNN: TOTAL POWER,Kyle Mills,Emily Bestler/Atria,1501190679,9781501190674,Combined Print and E-Book Fiction,2020-10-25,4
2095,HUMANS,Brandon Stanton,St. Martin's,1250114292,9781250114297,Combined Print and E-Book Nonfiction,2020-10-25,1
2096,IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9781982112691,Combined Print and E-Book Nonfiction,2020-10-25,1
2097,THE 99% INVISIBLE CITY,Roman Mars and Kurt Kohlstedt,Houghton Mifflin Harcourt,0358126606,9780358126607,Combined Print and E-Book Nonfiction,2020-10-25,1
2098,RAGE,Bob Woodward,Simon & Schuster,198213173X,9781982131739,Combined Print and E-Book Nonfiction,2020-10-25,4
2099,CASTE,Isabel Wilkerson,Random House,0593230256,9780593230251,Combined Print and E-Book Nonfiction,2020-10-25,10
2100,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9781627797047,Combined Print and E-Book Nonfiction,2020-10-25,5
2101,BLACKOUT,Candace Owens,Threshold Editions,1982133279,9781982133276,Combined Print and E-Book Nonfiction,2020-10-25,4
2102,UNDAUNTED,John O Brennan,Celadon,1250241774,9781250241771,Combined Print and E-Book Nonfiction,2020-10-25,1
2103,THE MEANING OF MARIAH CAREY,Mariah Carey with Michaela Angela Davis,Andy Cohen/Holt,1250164680,9781250164681,Combined Print and E-Book Nonfiction,2020-10-25,2
2104,UNTAMED,Glennon Doyle,Dial,1984801252,9781984801258,Combined Print and E-Book Nonfiction,2020-10-25,31
2105,ONE VOTE AWAY,Ted Cruz,Regnery,1684511348,9781684511341,Combined Print and E-Book Nonfiction,2020-10-25,2
2106,TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria,Norton,0393542130,9780393542134,Combined Print and E-Book Nonfiction,2020-10-25,1
2107,TRUST,Pete Buttigieg,Liveright,1631498770,9781631498770,Combined Print and E-Book Nonfiction,2020-10-25,1
2108,WHITE FRAGILITY,Robin DiAngelo,Beacon Press,0807047414,9780807047415,Combined Print and E-Book Nonfiction,2020-10-25,29
2109,LET LOVE RULE,Lenny Kravitz with David Ritz,Holt,1250113083,9781250113085,Combined Print and E-Book Nonfiction,2020-10-25,1
2110,THE RETURN,Nicholas Sparks,Grand Central,1538728575,9781538728574,Hardcover Fiction,2020-10-25,2
2111,TROUBLES IN PARADISE,Elin Hilderbrand,"Little, Brown",0316435589,9780316435581,Hardcover Fiction,2020-10-25,1
2112,LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,0062667637,9780062667632,Hardcover Fiction,2020-10-25,1
2113,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,0765387565,9780765387561,Hardcover Fiction,2020-10-25,1
2114,THE SEARCHER,Tana French,Viking,073522465X,9780735224650,Hardcover Fiction,2020-10-25,1
2115,MAGIC LESSONS,Alice Hoffman,Simon & Schuster,1982108843,9781982108847,Hardcover Fiction,2020-10-25,1
2116,THE EVENING AND THE MORNING,Ken Follett,Viking,0525954988,9780525954989,Hardcover Fiction,2020-10-25,4
2117,THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9781984818355,Hardcover Fiction,2020-10-25,3
2118,ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9781501160837,Hardcover Fiction,2020-10-25,5
2119,THE VANISHING HALF,Brit Bennett,Riverhead,0525536299,9780525536291,Hardcover Fiction,2020-10-25,19
2120,THE COAST-TO-COAST MURDERS,James Patterson and J.D. Barker,"Little, Brown",0316457426,9780316457422,Hardcover Fiction,2020-10-25,3
2121,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219095,9780735219090,Hardcover Fiction,2020-10-25,110
