Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
DASHER,Matt Tavares,Candlewick,1536201375,9.78154E+12,Picture Books,12/20/2020,5
HOW TO CATCH AN ELF,Adam Wallace.,Sourcebooks Jabberwocky,1492646318,9.78149E+12,Picture Books,12/20/2020,21
DOG MAN,Dav Pilkey,Scholastic,1338535625,9.78134E+12,Series Books,12/20/2020,171
HARRY POTTER,J.K. Rowling,Scholastic,1440503257,9.78144E+12,Series Books,12/20/2020,611
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419748688,9.78142E+12,Series Books,12/20/2020,612
THE TWILIGHT SAGA,Stephenie Meyer,"Little, Brown",031670704X,9.78032E+12,Series Books,12/20/2020,244
AN EMBER IN THE ASHES,Sabaa Tahir,Razorbill,448494531,9.78045E+12,Series Books,12/20/2020,2
THE BAD GUYS,Aaron Blabey,Scholastic,1338329502,9.78134E+12,Series Books,12/20/2020,104
COURT OF THORNS AND ROSES,Sarah J Maas,Bloomsbury,1619634457,9.78162E+12,Series Books,12/20/2020,18
THE LAST KIDS ON EARTH,Max Brallier.,Viking,1984835343,9.78198E+12,Series Books,12/20/2020,56
BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Scholastic,1338304542,9.78134E+12,Series Books,12/20/2020,52
THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9.78134E+12,Series Books,12/20/2020,257
THE COUSINS,Karen M. McManus,Delacorte,525708006,9.78053E+12,Young Adult Hardcover,12/20/2020,1
ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9.78152E+12,Young Adult Hardcover,12/20/2020,149
THE BLACK FRIEND,Frederick Joseph,Candlewick,1536217018,9.78154E+12,Young Adult Hardcover,12/20/2020,1
STAMPED,Jason Reynolds and Ibram X. Kendi,"Little, Brown",316453692,9.78032E+12,Young Adult Hardcover,12/20/2020,37
THE HATE U GIVE,Angie Thomas,Balzer + Bray,62498533,9.78006E+12,Young Adult Hardcover,12/20/2020,197
LEGENDBORN,Tracy Deonn,Margaret K. McElderry,1534441603,9.78153E+12,Young Adult Hardcover,12/20/2020,3
KINGDOM OF THE WICKED,Kerri Maniscalco,jimmy patterson,316428469,9.78032E+12,Young Adult Hardcover,12/20/2020,6
ALL THIS TIME,Mikki Daughtry and Rachael Lippincott,Simon & Schuster,1534466347,9.78153E+12,Young Adult Hardcover,12/20/2020,10
THESE VIOLENT DELIGHTS,Chloe Gong,Margaret K. McElderry,1534457690,9.78153E+12,Young Adult Hardcover,12/20/2020,2
THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",1368052401,9.78137E+12,Young Adult Hardcover,12/20/2020,6
FORTUNE AND GLORY,Janet Evanovich,Atria,1982154861,9.78198E+12,Combined Print and E-Book Fiction,11/22/2020,1
A TIME FOR MERCY,John Grisham,Doubleday,385545967,9.78039E+12,Combined Print and E-Book Fiction,11/22/2020,4
THE SENTINEL,Lee Child and Andrew Child,Delacorte,isbn10 mus,9.78198E+12,Combined Print and E-Book Fiction,11/22/2020,2
THE RETURN,Nicholas Sparks,Grand Central,1538728575,9.78154E+12,Combined Print and E-Book Fiction,11/22/2020,6
THE EVENING AND THE MORNING,Ken Follett,Viking,525954988,9.78053E+12,Combined Print and E-Book Fiction,11/22/2020,8
THE SEARCHER,Tana French,Viking,735224668,9.78074E+12,Combined Print and E-Book Fiction,11/22/2020,5
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,765387565,9.78077E+12,Combined Print and E-Book Fiction,11/22/2020,5
THE VANISHING HALF,Brit Bennett,Riverhead,525536299,9.78053E+12,Combined Print and E-Book Fiction,11/22/2020,23
WHITE IVY,Susie Yang,Simon & Schuster,1982100591,9.78198E+12,Combined Print and E-Book Fiction,11/22/2020,1
ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9.7815E+12,Combined Print and E-Book Fiction,11/22/2020,9
THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,"Little, Brown",316541613,9.78032E+12,Combined Print and E-Book Fiction,11/22/2020,2
THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,Random House,593133846,9.78059E+12,Combined Print and E-Book Fiction,11/22/2020,2
THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9.78198E+12,Combined Print and E-Book Fiction,11/22/2020,6
THE DIRTY SOUTH,John Connolly,Emily Bestler/Atria,1982127562,9.78198E+12,Combined Print and E-Book Fiction,11/22/2020,1
HIDDEN IN PLAIN SIGHT,Jeffrey Archer,St. Martin's,1250200792,9.78125E+12,Combined Print and E-Book Fiction,11/22/2020,1
CLANLANDS,Sam Heughan and Graham McTavish,Mobius,1529342007,9.78153E+12,Combined Print and E-Book Nonfiction,11/22/2020,1
GREENLIGHTS,Matthew McConaughey,Crown,593139135,9.78059E+12,Combined Print and E-Book Nonfiction,11/22/2020,3
THE BEST OF ME,David Sedaris,"Little, Brown",316628247,9.78032E+12,Combined Print and E-Book Nonfiction,11/22/2020,1
CASTE,Isabel Wilkerson,Random House,593230256,9.78059E+12,Combined Print and E-Book Nonfiction,11/22/2020,14
SHADE,Pete Souza,"Voracious/Little, Brown",316421820,9.78032E+12,Combined Print and E-Book Nonfiction,11/22/2020,12
UNTAMED,Glennon Doyle,Dial,1984801252,9.78198E+12,Combined Print and E-Book Nonfiction,11/22/2020,35
OBAMA,Pete Souza,"Little, Brown",316512583,9.78032E+12,Combined Print and E-Book Nonfiction,11/22/2020,19
KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9.78163E+12,Combined Print and E-Book Nonfiction,11/22/2020,9
BLACKOUT,Candace Owens,Threshold Editions,1982133279,9.78198E+12,Combined Print and E-Book Nonfiction,11/22/2020,8
ELEANOR,David Michaelis,Simon & Schuster,1439192014,9.78144E+12,Combined Print and E-Book Nonfiction,11/22/2020,1
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,525509283,9.78053E+12,Combined Print and E-Book Nonfiction,11/22/2020,27
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,807047414,9.78081E+12,Combined Print and E-Book Nonfiction,11/22/2020,31
HUMANS,Brandon Stanton,St. Martin's,1250114292,9.78125E+12,Combined Print and E-Book Nonfiction,11/22/2020,3
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,1501145258,9.7815E+12,Combined Print and E-Book Nonfiction,11/22/2020,6
IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9.78198E+12,Combined Print and E-Book Nonfiction,11/22/2020,5
FORTUNE AND GLORY,Janet Evanovich,Atria,1982154837,9.78198E+12,Hardcover Fiction,11/22/2020,1
A TIME FOR MERCY,John Grisham,Doubleday,385545967,9.78039E+12,Hardcover Fiction,11/22/2020,4
THE SENTINEL,Lee Child and Andrew Child,Delacorte,isbn10 mus,9.78198E+12,Hardcover Fiction,11/22/2020,2
THE RETURN,Nicholas Sparks,Grand Central,1538728575,9.78154E+12,Hardcover Fiction,11/22/2020,6
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,765387565,9.78077E+12,Hardcover Fiction,11/22/2020,5
THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,"Little, Brown",316541613,9.78032E+12,Hardcover Fiction,11/22/2020,2
THE VANISHING HALF,Brit Bennett,Riverhead,525536299,9.78053E+12,Hardcover Fiction,11/22/2020,23
THE EVENING AND THE MORNING,Ken Follett,Viking,525954988,9.78053E+12,Hardcover Fiction,11/22/2020,8
THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,Random House,593133846,9.78059E+12,Hardcover Fiction,11/22/2020,2
THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9.78198E+12,Hardcover Fiction,11/22/2020,7
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219095,9.78074E+12,Hardcover Fiction,11/22/2020,114
ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9.7815E+12,Hardcover Fiction,11/22/2020,9
WHITE IVY,Susie Yang,Simon & Schuster,1982100591,9.78198E+12,Hardcover Fiction,11/22/2020,1
THE SEARCHER,Tana French,Viking,073522465X,9.78074E+12,Hardcover Fiction,11/22/2020,5
LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,62667637,9.78006E+12,Hardcover Fiction,11/22/2020,5
CLANLANDS,Sam Heughan and Graham McTavish,Mobius,1529342007,9.78153E+12,Hardcover Nonfiction,11/22/2020,1
GREENLIGHTS,Matthew McConaughey,Crown,593139135,9.78059E+12,Hardcover Nonfiction,11/22/2020,3
THE BEST OF ME,David Sedaris,"Little, Brown",316628247,9.78032E+12,Hardcover Nonfiction,11/22/2020,1
CASTE,Isabel Wilkerson,Random House,593230256,9.78059E+12,Hardcover Nonfiction,11/22/2020,14
UNTAMED,Glennon Doyle,Dial,1984801252,9.78198E+12,Hardcover Nonfiction,11/22/2020,35
SHADE,Pete Souza,"Little, Brown",316421820,9.78032E+12,Hardcover Nonfiction,11/22/2020,14
OBAMA,Pete Souza,"Little, Brown",316512583,9.78032E+12,Hardcover Nonfiction,11/22/2020,25
KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9.78163E+12,Hardcover Nonfiction,11/22/2020,9
BLACKOUT,Candace Owens,Threshold Editions,1982133279,9.78198E+12,Hardcover Nonfiction,11/22/2020,8
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,525509283,9.78053E+12,Hardcover Nonfiction,11/22/2020,36
ELEANOR,David Michaelis,Simon & Schuster,1439192014,9.78144E+12,Hardcover Nonfiction,11/22/2020,1
HUMANS,Brandon Stanton,St. Martin's,1250114292,9.78125E+12,Hardcover Nonfiction,11/22/2020,4
IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9.78198E+12,Hardcover Nonfiction,11/22/2020,5
OUR TIME IS NOW,Stacey Abrams,Holt,1250257700,9.78125E+12,Hardcover Nonfiction,11/22/2020,2
RAGE,Bob Woodward,Simon & Schuster,198213173X,9.78198E+12,Hardcover Nonfiction,11/22/2020,8
THEN SHE WAS GONE,Lisa Jewell,Atria,1501154656,9.7815E+12,Trade Fiction Paperback,11/22/2020,69
THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,Grand Central,1538715945,9.78154E+12,Trade Fiction Paperback,11/22/2020,4
WALK THE WIRE,David Baldacci,Grand Central,1538761475,9.78154E+12,Trade Fiction Paperback,11/22/2020,5
THE BOY FROM THE WOODS,Harlan Coben,Grand Central,1538748207,9.78154E+12,Trade Fiction Paperback,11/22/2020,3
THE INSTITUTE,Stephen King,Gallery,1982110589,9.78198E+12,Trade Fiction Paperback,11/22/2020,10
THIS TENDER LAND,William Kent Krueger,Atria,1476749302,9.78148E+12,Trade Fiction Paperback,11/22/2020,19
CIRCE,Madeline Miller,Back Bay,316556327,9.78032E+12,Trade Fiction Paperback,11/22/2020,23
MISS BENSON'S BEETLE,Rachel Joyce,Dial,812996704,9.78081E+12,Trade Fiction Paperback,11/22/2020,1
THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9.78039E+12,Trade Fiction Paperback,11/22/2020,137
COMFORT & JOY,Kristin Hannah,Ballantine,1984800841,9.78198E+12,Trade Fiction Paperback,11/22/2020,1
THE WITCH HUNTER,Max Seeck,Berkley,593199669,9.78059E+12,Trade Fiction Paperback,11/22/2020,1
LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin,735224315,9.78074E+12,Trade Fiction Paperback,11/22/2020,79
THE OVERSTORY,Richard Powers,Norton,039335668X,9.78039E+12,Trade Fiction Paperback,11/22/2020,68
THE NIGHTINGALE,Kristin Hannah,St. Martin's Griffin,1250080401,9.78125E+12,Trade Fiction Paperback,11/22/2020,61
WHEN NO ONE IS WATCHING,Alyssa Cole,Morrow,62982656,9.78006E+12,Trade Fiction Paperback,11/22/2020,2
WHITE FRAGILITY,Robin DiAngelo,Beacon,807047414,9.78081E+12,Paperback Nonfiction,11/22/2020,114
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Simon & Schuster,1501145258,9.7815E+12,Paperback Nonfiction,11/22/2020,16
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Paperback Nonfiction,11/22/2020,107
SHADE,Pete Souza,"Voracious/Little, Brown",031645821X,9.78032E+12,Paperback Nonfiction,11/22/2020,3
THE COLOR OF LAW,Richard Rothstein,Liveright,1631494538,9.78163E+12,Paperback Nonfiction,11/22/2020,28
THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Vintage,679763880,9.78068E+12,Paperback Nonfiction,11/22/2020,45
THE TRUTHS WE HOLD,Kamala Harris,Penguin,525560734,9.78053E+12,Paperback Nonfiction,11/22/2020,7
CONVERSATIONS WITH RBG,Jeffrey Rosen,Picador,1250762642,9.78125E+12,Paperback Nonfiction,11/22/2020,1
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9.78157E+12,Paperback Nonfiction,11/22/2020,30
JUST MERCY,Bryan Stevenson,One World,081298496X,9.78081E+12,Paperback Nonfiction,11/22/2020,230
THE NEW JIM CROW,Michelle Alexander,New Press,1620971933,9.78162E+12,Paperback Nonfiction,11/22/2020,211
LEAD FROM THE OUTSIDE,Stacey Abrams,Picador,1250214807,9.78125E+12,Paperback Nonfiction,11/22/2020,6
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,Seal,1580058825,9.78158E+12,Paperback Nonfiction,11/22/2020,25
WHAT UNITES US,Dan Rather and Elliot Kirschner,Algonquin,1616209941,9.78162E+12,Paperback Nonfiction,11/22/2020,4
BORN A CRIME,Trevor Noah,One World,399588191,9.7804E+12,Paperback Nonfiction,11/22/2020,91
MODERN COMFORT FOOD,Ina Garten,Clarkson Potter,804187061,9.7808E+12,Advice How-To and Miscellaneous,11/22/2020,5
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,62976583,9.78006E+12,Advice How-To and Miscellaneous,11/22/2020,49
THINK LIKE A MONK,Jay Shetty,Simon & Schuster,1982134488,9.78198E+12,Advice How-To and Miscellaneous,11/22/2020,9
DIDN'T SEE THAT COMING,Rachel Hollis,Dey St.,63010526,9.78006E+12,Advice How-To and Miscellaneous,11/22/2020,6
ATOMIC HABITS,James Clear,Avery,735211299,9.78074E+12,Advice How-To and Miscellaneous,11/22/2020,50
"MAGNOLIA TABLE, VOL. 2",Joanna Gaines,Morrow,62820184,9.78006E+12,Advice How-To and Miscellaneous,11/22/2020,24
THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,080241270X,9.7808E+12,Advice How-To and Miscellaneous,11/22/2020,326
BURNOUT,Emily Nagoski and Amelia Nagoski,Ballantine,1984818325,9.78198E+12,Advice How-To and Miscellaneous,11/22/2020,3
THE PRACTICE,Seth Godin,Portfolio,593328973,9.78059E+12,Advice How-To and Miscellaneous,11/22/2020,1
HEROES' FEAST: THE OFFICIAL DUNGEONS & DRAGONS COOKBOOK,"Kyle Newman, Jon Peterson and Michael Witwer, with recipes by Adam Ried",Ten Speed,1984859366,9.78198E+12,Advice How-To and Miscellaneous,11/22/2020,2
5 MORE SLEEPS 'TIL CHRISTMAS,Jimmy Fallon.,Feiwel & Friends,1250266475,9.78125E+12,Picture Books,11/22/2020,2
I DISSENT,Debbie Levy,Simon & Schuster,1481465597,9.78148E+12,Picture Books,11/22/2020,8
THE COUCH POTATO,Jory John,Harper,62954539,9.78006E+12,Picture Books,11/22/2020,1
CONSTRUCTION SITE ON CHRISTMAS NIGHT,Sherri Duskey Rinker.,Chronicle,1452139113,9.78145E+12,Picture Books,11/22/2020,18
THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY,Robb Pearlman,"Little, Brown",316428388,9.78032E+12,Picture Books,11/22/2020,6
THE SPIDER WHO SAVED CHRISTMAS,Raymond Arroyo,Sophia Institute,1644132117,9.78164E+12,Picture Books,11/22/2020,3
I PROMISE,LeBron James,HarperCollins,62971069,9.78006E+12,Picture Books,11/22/2020,13
I AM EVERY GOOD THING,Derrick Barnes,Nancy Paulsen,525518770,9.78053E+12,Picture Books,11/22/2020,6
HOW TO CATCH A TURKEY,Adam Wallace.,Sourcebooks Jabberwocky,1492664359,9.78149E+12,Picture Books,11/22/2020,6
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,385376715,9.78039E+12,Picture Books,11/22/2020,254
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419748688,9.78142E+12,Series Books,11/22/2020,608
DOG MAN,Dav Pilkey,Scholastic,1338535625,9.78134E+12,Series Books,11/22/2020,167
HARRY POTTER,J.K. Rowling,Scholastic,1338596705,9.78134E+12,Series Books,11/22/2020,607
THE TWILIGHT SAGA,Stephenie Meyer,"Little, Brown",031670704X,9.78032E+12,Series Books,11/22/2020,240
BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Scholastic,1338304542,9.78134E+12,Series Books,11/22/2020,48
THE LAST KIDS ON EARTH,Max Brallier.,Viking,1984835343,9.78198E+12,Series Books,11/22/2020,52
THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9.78134E+12,Series Books,11/22/2020,254
THE TRIALS OF APOLLO,Rick Riordan,Disney-Hyperion,1484746457,9.78148E+12,Series Books,11/22/2020,30
WINGS OF FIRE,Tui T. Sutherland,Scholastic,None,9.78134E+12,Series Books,11/22/2020,90
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,1524793531,9.78152E+12,Series Books,11/22/2020,104
THE HATE U GIVE,Angie Thomas,Balzer + Bray,62498533,9.78006E+12,Young Adult Hardcover,11/22/2020,193
STAMPED,Jason Reynolds and Ibram X. Kendi,"Little, Brown",316453692,9.78032E+12,Young Adult Hardcover,11/22/2020,33
INSTANT KARMA,Marissa Meyer,Feiwel & Friends,1250618819,9.78125E+12,Young Adult Hardcover,11/22/2020,1
ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9.78152E+12,Young Adult Hardcover,11/22/2020,145
ALL THIS TIME,Mikki Daughtry and Rachael Lippincott,Simon & Schuster,1534466347,9.78153E+12,Young Adult Hardcover,11/22/2020,6
KINGDOM OF THE WICKED,Kerri Maniscalco,jimmy patterson,None,9.78032E+12,Young Adult Hardcover,11/22/2020,2
DEAR JUSTYCE,Nic Stone,Crown,1984829661,9.78198E+12,Young Adult Hardcover,11/22/2020,6
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896369,9.78198E+12,Young Adult Hardcover,11/22/2020,22
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,1250170974,9.78125E+12,Young Adult Hardcover,11/22/2020,123
THE LOST BOOK OF THE WHITE,Cassandra Clare and Wesley Chu,Margaret K. McElderry,1481495127,9.78148E+12,Young Adult Hardcover,11/22/2020,9
TROUBLES IN PARADISE,Elin Hilderbrand,"Little, Brown",316435619,9.78032E+12,Combined Print and E-Book Fiction,10/25/2020,1
THE SEARCHER,Tana French,Viking,735224668,9.78074E+12,Combined Print and E-Book Fiction,10/25/2020,1
THE RETURN,Nicholas Sparks,Grand Central,1538728575,9.78154E+12,Combined Print and E-Book Fiction,10/25/2020,2
LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,62667637,9.78006E+12,Combined Print and E-Book Fiction,10/25/2020,1
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,765387565,9.78077E+12,Combined Print and E-Book Fiction,10/25/2020,1
THE EVENING AND THE MORNING,Ken Follett,Viking,525954988,9.78053E+12,Combined Print and E-Book Fiction,10/25/2020,4
MAGIC LESSONS,Alice Hoffman,Simon & Schuster,1982108843,9.78198E+12,Combined Print and E-Book Fiction,10/25/2020,1
ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9.7815E+12,Combined Print and E-Book Fiction,10/25/2020,5
THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9.78198E+12,Combined Print and E-Book Fiction,10/25/2020,3
WALK THE WIRE,David Baldacci,Grand Central,1538761475,9.78154E+12,Combined Print and E-Book Fiction,10/25/2020,10
THE COAST-TO-COAST MURDERS,James Patterson and J.D. Barker,"Little, Brown",316457426,9.78032E+12,Combined Print and E-Book Fiction,10/25/2020,3
THE VANISHING HALF,Brit Bennett,Riverhead,525536299,9.78053E+12,Combined Print and E-Book Fiction,10/25/2020,19
THE GUEST LIST,Lucy Foley,Morrow,62868934,9.78006E+12,Combined Print and E-Book Fiction,10/25/2020,18
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219095,9.78074E+12,Combined Print and E-Book Fiction,10/25/2020,108
VINCE FLYNN: TOTAL POWER,Kyle Mills,Emily Bestler/Atria,1501190679,9.7815E+12,Combined Print and E-Book Fiction,10/25/2020,4
HUMANS,Brandon Stanton,St. Martin's,1250114292,9.78125E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9.78198E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
THE 99% INVISIBLE CITY,Roman Mars and Kurt Kohlstedt,Houghton Mifflin Harcourt,358126606,9.78036E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
RAGE,Bob Woodward,Simon & Schuster,198213173X,9.78198E+12,Combined Print and E-Book Nonfiction,10/25/2020,4
CASTE,Isabel Wilkerson,Random House,593230256,9.78059E+12,Combined Print and E-Book Nonfiction,10/25/2020,10
KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9.78163E+12,Combined Print and E-Book Nonfiction,10/25/2020,5
BLACKOUT,Candace Owens,Threshold Editions,1982133279,9.78198E+12,Combined Print and E-Book Nonfiction,10/25/2020,4
UNDAUNTED,John O Brennan,Celadon,1250241774,9.78125E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
THE MEANING OF MARIAH CAREY,Mariah Carey with Michaela Angela Davis,Andy Cohen/Holt,1250164680,9.78125E+12,Combined Print and E-Book Nonfiction,10/25/2020,2
UNTAMED,Glennon Doyle,Dial,1984801252,9.78198E+12,Combined Print and E-Book Nonfiction,10/25/2020,31
ONE VOTE AWAY,Ted Cruz,Regnery,1684511348,9.78168E+12,Combined Print and E-Book Nonfiction,10/25/2020,2
TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria,Norton,393542130,9.78039E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
TRUST,Pete Buttigieg,Liveright,1631498770,9.78163E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,807047414,9.78081E+12,Combined Print and E-Book Nonfiction,10/25/2020,29
LET LOVE RULE,Lenny Kravitz with David Ritz,Holt,1250113083,9.78125E+12,Combined Print and E-Book Nonfiction,10/25/2020,1
THE RETURN,Nicholas Sparks,Grand Central,1538728575,9.78154E+12,Hardcover Fiction,10/25/2020,2
TROUBLES IN PARADISE,Elin Hilderbrand,"Little, Brown",316435589,9.78032E+12,Hardcover Fiction,10/25/2020,1
LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,62667637,9.78006E+12,Hardcover Fiction,10/25/2020,1
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,765387565,9.78077E+12,Hardcover Fiction,10/25/2020,1
THE SEARCHER,Tana French,Viking,073522465X,9.78074E+12,Hardcover Fiction,10/25/2020,1
MAGIC LESSONS,Alice Hoffman,Simon & Schuster,1982108843,9.78198E+12,Hardcover Fiction,10/25/2020,1
THE EVENING AND THE MORNING,Ken Follett,Viking,525954988,9.78053E+12,Hardcover Fiction,10/25/2020,4
THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,198481835X,9.78198E+12,Hardcover Fiction,10/25/2020,3
ANXIOUS PEOPLE,Fredrik Backman,Atria,1501160834,9.7815E+12,Hardcover Fiction,10/25/2020,5
THE VANISHING HALF,Brit Bennett,Riverhead,525536299,9.78053E+12,Hardcover Fiction,10/25/2020,19
THE COAST-TO-COAST MURDERS,James Patterson and J.D. Barker,"Little, Brown",316457426,9.78032E+12,Hardcover Fiction,10/25/2020,3
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219095,9.78074E+12,Hardcover Fiction,10/25/2020,110
THE GUEST LIST,Lucy Foley,Morrow,62868934,9.78006E+12,Hardcover Fiction,10/25/2020,18
ONE BY ONE,Ruth Ware,Gallery/Scout,150118881X,9.7815E+12,Hardcover Fiction,10/25/2020,5
VINCE FLYNN: TOTAL POWER,Kyle Mills,Emily Bestler/Atria,1501190652,9.7815E+12,Hardcover Fiction,10/25/2020,4
HUMANS,Brandon Stanton,St. Martin's,1250114292,9.78125E+12,Hardcover Nonfiction,10/25/2020,1
IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9.78198E+12,Hardcover Nonfiction,10/25/2020,1
THE 99% INVISIBLE CITY,Roman Mars and Kurt Kohlstedt,Houghton Mifflin Harcourt,358126606,9.78036E+12,Hardcover Nonfiction,10/25/2020,1
RAGE,Bob Woodward,Simon & Schuster,198213173X,9.78198E+12,Hardcover Nonfiction,10/25/2020,4
CASTE,Isabel Wilkerson,Random House,593230256,9.78059E+12,Hardcover Nonfiction,10/25/2020,10
BLACKOUT,Candace Owens,Threshold Editions,1982133279,9.78198E+12,Hardcover Nonfiction,10/25/2020,4
KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9.78163E+12,Hardcover Nonfiction,10/25/2020,5
THE MEANING OF MARIAH CAREY,Mariah Carey with Michaela Angela Davis,Andy Cohen/Holt,1250164680,9.78125E+12,Hardcover Nonfiction,10/25/2020,2
UNTAMED,Glennon Doyle,Dial,1984801252,9.78198E+12,Hardcover Nonfiction,10/25/2020,31
UNDAUNTED,John O Brennan,Celadon,1250241774,9.78125E+12,Hardcover Nonfiction,10/25/2020,1
TRUST,Pete Buttigieg,Liveright,1631498770,9.78163E+12,Hardcover Nonfiction,10/25/2020,1
TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria,Norton,393542130,9.78039E+12,Hardcover Nonfiction,10/25/2020,1
ONE VOTE AWAY,Ted Cruz,Regnery,1684511348,9.78168E+12,Hardcover Nonfiction,10/25/2020,2
LET LOVE RULE,Lenny Kravitz with David Ritz,Holt,1250113083,9.78125E+12,Hardcover Nonfiction,10/25/2020,1
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,525509283,9.78053E+12,Hardcover Nonfiction,10/25/2020,32
WALK THE WIRE,David Baldacci,Grand Central,1538761475,9.78154E+12,Trade Fiction Paperback,10/25/2020,1
THE INSTITUTE,Stephen King,Gallery,1982110589,9.78198E+12,Trade Fiction Paperback,10/25/2020,6
THEN SHE WAS GONE,Lisa Jewell,Atria,1501154656,9.7815E+12,Trade Fiction Paperback,10/25/2020,65
THE RISE OF MAGICKS,Nora Roberts,St. Martin's Griffin,1250123046,9.78125E+12,Trade Fiction Paperback,10/25/2020,1
CILKA'S JOURNEY,Heather Morris,St. Martin's Griffin,125026569X,9.78125E+12,Trade Fiction Paperback,10/25/2020,5
THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9.78039E+12,Trade Fiction Paperback,10/25/2020,133
LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin,735224315,9.78074E+12,Trade Fiction Paperback,10/25/2020,75
THE OVERSTORY,Richard Powers,Norton,039335668X,9.78039E+12,Trade Fiction Paperback,10/25/2020,64
THIS TENDER LAND,William Kent Krueger,Atria,1476749302,9.78148E+12,Trade Fiction Paperback,10/25/2020,15
