,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2448,LLAMA LLAMA LOVES TO READ,Anna Dewdney and Reed Duncan,Viking,0670013978,9780670013975,Picture Books,2018-09-02,14
2449,AFTER THE FALL,Dan Santat,Roaring Brook,1626726825,9781626726826,Picture Books,2018-09-02,10
2450,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9780590353427,Series Books,2018-09-02,491
2451,TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,1442426713,9781442426719,Series Books,2018-09-02,5
2452,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419725459,9781419725456,Series Books,2018-09-02,492
2453,DOG MAN,Dav Pilkey,Scholastic,0545935180,9780545935180,Series Books,2018-09-02,51
2454,CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,0545499089,9780545499088,Series Books,2018-09-02,132
2455,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,0786838655,9780786838653,Series Books,2018-09-02,481
2456,DARKEST MINDS,Alexandra Bracken,Disney Publishing Worldwide,1368023231,9781368023238,Series Books,2018-09-02,6
2457,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,0448450526,9780448450520,Series Books,2018-09-02,60
2458,MIDDLE SCHOOL,James Patterson and others,"Little, Brown",031634690X,9780316346900,Series Books,2018-09-02,56
2459,DORK DIARIES,Rachel Renée Russell,Simon & Schuster,1534405607,9781534405608,Series Books,2018-09-02,261
2460,THE HATE U GIVE,Angie Thomas,Balzer & Bray,0062498533,9780062498533,Young Adult Hardcover,2018-09-02,77
2461,CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,1250170974,9781250170972,Young Adult Hardcover,2018-09-02,24
2462,HOCUS POCUS AND THE ALL-NEW SEQUEL,AW Jantha,Freeform,1368020038,9781368020039,Young Adult Hardcover,2018-09-02,6
2463,TURTLES ALL THE WAY DOWN,John Green,Dutton,0525555366,9780525555360,Young Adult Hardcover,2018-09-02,45
2464,LONG WAY DOWN,Jason Reynolds,Atheneum/Caitlyn Dlouhy,1481438255,9781481438254,Young Adult Hardcover,2018-09-02,23
2465,I AM NOT YOUR PERFECT MEXICAN DAUGHTER,Erika L. Sánchez,Knopf,1524700487,9781524700485,Young Adult Hardcover,2018-09-02,3
