,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
3872,INSIDE OF A DOG,Alexandra Horowitz,Scribner,1416583408,9.78142E+12,Hardcover Nonfiction,11/22/2009,2,,
3873,BON JOVI,Bon Jovi,Collins Design/HarperCollins,61864153,9.78006E+12,Hardcover Nonfiction,11/22/2009,1,,
3874,LIFE AFTER DEATH,Dinesh D'Souza,Regnery,1596980990,9.7816E+12,Hardcover Nonfiction,11/22/2009,0,,
3875,YOU BETTER NOT CRY,Augusten Burroughs,St. Martin’s,312341911,9.78031E+12,Hardcover Nonfiction,11/22/2009,0,,
3876,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,Grand Central,044656267X,9.78045E+12,Trade Fiction Paperback,11/22/2009,3,,
3877,THE GIVEN DAY,Dennis Lehane,Harper Perennial,380731878,9.78038E+12,Trade Fiction Paperback,11/22/2009,1,,
3878,KNIT TWO,Kate Jacobs,Berkley,425229920,9.78043E+12,Trade Fiction Paperback,11/22/2009,1,,
3879,MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,Anchor,307475018,9.78031E+12,Paperback Nonfiction,11/22/2009,19,,
3880,ERAGON’S GUIDE TO ALAGAËSIA,Christopher Paolini,Knopf,375858237,9.78038E+12,Picture Books,11/22/2009,1,,
3881,WHERE THE WILD THINGS ARE,Barb Bersche and Michelle Quint,HarperFestival/HarperCollins,61656860,9.78006E+12,Picture Books,11/22/2009,6,,
3882,MORGANVILLE VAMPIRES,Rachel Caine,"NAL Jam, paper only",451225724,9.78045E+12,Series Books,11/22/2009,3,,
3883,THE CLIQUE,Lisi Harrison,"Poppy/Little, Brown, paper only",316701343,9.78032E+12,Series Books,11/22/2009,15,,
3884,BLUE BLOODS,Melissa de la Cruz,"Hyperion, hardcover and paper",1423102282,9.78142E+12,Series Books,11/22/2009,12,,
3885,THE PROFESSIONAL,Robert B Parker,Putnam,399155945,9.7804E+12,Hardcover Fiction,10/25/2009,1,,
3886,EVIDENCE,Jonathan Kellerman,Ballantine,345518144,9.78035E+12,Hardcover Fiction,10/25/2009,1,,
3887,AN ECHO IN THE BONE,Diana Gabaldon,Delacorte,385342454,9.78039E+12,Hardcover Fiction,10/25/2009,3,,
3888,ROUGH COUNTRY,John Sandford,Putnam,399155988,9.7804E+12,Hardcover Fiction,10/25/2009,2,,
3889,HER FEARFUL SYMMETRY,Audrey Niffenegger,Scribner,1439169179,9.78144E+12,Hardcover Fiction,10/25/2009,2,,
3890,THE GHOST KING,R A Salvatore,Wizards of the Coast,786952334,9.78079E+12,Hardcover Fiction,10/25/2009,1,,
3891,THE CHRISTMAS LIST,Richard Paul Evans,Simon & Schuster,1439150001,9.78144E+12,Hardcover Fiction,10/25/2009,1,,
3892,THE UNSEEN ACADEMICALS,Terry Pratchett,Harper/HarperCollins,61161705,9.78006E+12,Hardcover Fiction,10/25/2009,1,,
3893,SOUTH OF BROAD,Pat Conroy,Nan A. Talese/Doubleday,038541305X,9.78039E+12,Hardcover Fiction,10/25/2009,9,,
3894,ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,"Little, Brown",316072621,9.78032E+12,Hardcover Fiction,10/25/2009,0,,
3895,THE PERFECT CHRISTMAS,Debbie Macomber,Mira,142684056X,9.78143E+12,Hardcover Fiction,10/25/2009,0,,
3896,HOTHOUSE ORCHID,Stuart Woods,Putnam,399156011,9.7804E+12,Hardcover Fiction,10/25/2009,0,,
3897,"JULIET, NAKED",Nick Horn,Riverhead,1594488878,9.78159E+12,Hardcover Fiction,10/25/2009,0,,
3898,THE MURDER OF KING TUT,James Patterson and Martin Dugard,"Little, Brown",316034045,9.78032E+12,Hardcover Nonfiction,10/25/2009,2,,
3899,THE GREATEST SHOW ON EARTH,Richard Dawkins,Free Press,1416594787,9.78142E+12,Hardcover Nonfiction,10/25/2009,3,,
3900,HIGH ON ARRIVAL,Mackenzie Phillips with HIlary Liftin,Simon Spotlight Entertainment,143915385X,9.78144E+12,Hardcover Nonfiction,10/25/2009,3,,
3901,OFFICIAL BOOK CLUB SELECTION,Kathy Griffin,Ballantine,345518519,9.78035E+12,Hardcover Nonfiction,10/25/2009,5,,
3902,AMERICAN ON PURPOSE,Craig Ferguson,Harper/HarperCollins,61719544,9.78006E+12,Hardcover Nonfiction,10/25/2009,3,,
3903,THE CASE FOR GOD,Karen Armstrong,Knopf,307272923,9.78031E+12,Hardcover Nonfiction,10/25/2009,3,,
3904,READ MY PINS,Madeleine Albright,Harper/HarperCollins,60899182,9.78006E+12,Hardcover Nonfiction,10/25/2009,1,,
3905,END THE FED,Ron Paul,Grand Central,044656818X,9.78045E+12,Hardcover Nonfiction,10/25/2009,4,,
3906,CULTURE OF CORRUPTION,Michelle Malkin,Regnery,1596981091,9.7816E+12,Hardcover Nonfiction,10/25/2009,0,,
3907,THE BOY WHO HARNESSED THE WIND,William Kamkwamba and Bryan Mealer,William Morrow,61730327,9.78006E+12,Hardcover Nonfiction,10/25/2009,0,,
3908,THE WEIGHT OF SILENCE,Heather Gudenkauf,Mira,1426837496,9.78143E+12,Trade Fiction Paperback,10/25/2009,11,,
3909,THE LUCKY ONE,Nicholas Sparks,Grand Central,446698342,9.78045E+12,Trade Fiction Paperback,10/25/2009,9,,
3910,HOME,Marilynne Robinson,Picador,312428545,9.78031E+12,Trade Fiction Paperback,10/25/2009,6,,
3911,THE HOUR I FIRST BELIEVED,Wally Lamb,Harper Perennial,60988436,9.78006E+12,Trade Fiction Paperback,10/25/2009,6,,
3912,THE BEST AMERICAN SHORT STORIES 2009,edited  Alice Sebold,Mariner,618792252,9.78062E+12,Trade Fiction Paperback,10/25/2009,1,,
3913,THE WORDY SHIPMATES,Sarah Vowell,Riverhead,1594489998,9.78159E+12,Paperback Nonfiction,10/25/2009,1,,
3914,WISHFUL DRINKING,Carrie Fisher,Simon & Schuster,143915371X,9.78144E+12,Paperback Nonfiction,10/25/2009,4,,
3915,JULIE & JULIA,Julie Powell,"Back Bay/Little, Brown, $14.99;",031604427X,9.78032E+12,Paperback Nonfiction,10/25/2009,15,,
3916,PIGS MAKE ME SNEEZE!,Mo Willems,Hyperion,1423114116,9.78142E+12,Picture Books,10/25/2009,1,,
3917,DEWEY,Vicki Myron with Bret Witter,"Little, Brown",446407410,9.78045E+12,Picture Books,10/25/2009,6,,
3918,THE RUNAWAY MUMMY,Michael Rex,Putnam,399252037,9.7804E+12,Picture Books,10/25/2009,1,,
3919,SEPTIMUS HEAP,Angie Sage,"Tegen/HarperCollins, hardcover and paper",60882077,9.78006E+12,Series Books,10/25/2009,22,,
3920,NIGHT WORLD,L J Smith,"Simon Pulse, paper only",1416974504,9.78142E+12,Series Books,10/25/2009,37,,
3921,SPARTAN GOLD,Clive Cussler with Grant Blackwood,Putnam,399156429,9.7804E+12,Hardcover Fiction,9/27/2009,2,,
3922,DARK SLAYER,Christine Feehan,Berkley,425229734,9.78043E+12,Hardcover Fiction,9/27/2009,2,,
3923,THE WHITE QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,1416563687,9.78142E+12,Hardcover Fiction,9/27/2009,4,,
3924,DEXTER BY DESIGN,Jeff Lindsay,Doubleday,385518366,9.78039E+12,Hardcover Fiction,9/27/2009,1,,
3925,A GATE AT THE STAIRS,Lorrie Moore,Knopf,375409289,9.78038E+12,Hardcover Fiction,9/27/2009,2,,
3926,206 BONES,Kathy Reichs,Scribner,1439166234,9.78144E+12,Hardcover Fiction,9/27/2009,3,,
3927,HOMER & LANGLEY,E L Doctorow,Random House,1400064945,9.7814E+12,Hardcover Fiction,9/27/2009,2,,
3928,THE ELEVENTH VICTIM,Nancy Grace,Hyperion,1401394531,9.7814E+12,Hardcover Fiction,9/27/2009,5,,
3929,THAT OLD CAPE MAGIC,Richard Russo,Knopf,375414967,9.78038E+12,Hardcover Fiction,9/27/2009,6,,
3930,THE GOLDEN CITY,John Twelve Hawks,Doubleday,385514301,9.78039E+12,Hardcover Fiction,9/27/2009,0,,
3931,THE HOST,Stephenie Meyer,"Little, Brown",316068047,9.78032E+12,Hardcover Fiction,9/27/2009,0,,
3932,THE SPIRE,Richard North Patterson,Holt,805087737,9.78081E+12,Hardcover Fiction,9/27/2009,0,,
3933,DAY AFTER NIGHT,Anita Diamant,Scribner,743299841,9.78074E+12,Hardcover Fiction,9/27/2009,0,,
3934,EVEN MONEY,Dick Francis and Felix Francis,Putnam,399155910,9.7804E+12,Hardcover Fiction,9/27/2009,0,,
3935,IN THE PRESIDENT’S SECRET SERVICE,Ronald Kessler,Crown,307461351,9.78031E+12,Hardcover Nonfiction,9/27/2009,6,,
3936,LIBERTY AND TYRANNY,Mark R Levin,Threshold Editions,1416562850,9.78142E+12,Hardcover Nonfiction,9/27/2009,25,,
3937,STRENGTH IN WHAT REMAINS,Tracy Kidder,"Random House,",1400066212,9.7814E+12,Hardcover Nonfiction,9/27/2009,3,,
3938,TRAVELING WITH POMEGRANATES,Sue Monk Kidd and Ann Kidd Taylor,Viking,670021202,9.78067E+12,Hardcover Nonfiction,9/27/2009,1,,
3939,THE HEALING OF AMERICA,T R Reid,Penguin Press,1594202346,9.78159E+12,Hardcover Nonfiction,9/27/2009,3,,
3940,NURTURESHOCK,Po Bronson and Ashley Merryman,Twelve,446504122,9.78045E+12,Hardcover Nonfiction,9/27/2009,2,,
3941,SHOOTING STARS,LeBron James and Buzz Bissinger,Penguin Press,159420232X,9.78159E+12,Hardcover Nonfiction,9/27/2009,1,,
3942,YOU WERE ALWAYS MOM’S FAVORITE,Deborah Tannen,Random House,1400066328,9.7814E+12,Hardcover Nonfiction,9/27/2009,1,,
3943,REPUBLICAN GOMORRAH,Max Blumenthal,Nation  Books,1568583982,9.78157E+12,Hardcover Nonfiction,9/27/2009,1,,
3944,A BIG LITTLE LIFE,Dean Koontz,Hyperion,1401323529,9.7814E+12,Hardcover Nonfiction,9/27/2009,3,,
3945,CATASTROPHE,Dick Morris and Eileen McGann,Harper/HarperCollins,006177104X,9.78006E+12,Hardcover Nonfiction,9/27/2009,0,,
3946,WHY OUR HEALTH MATTERS,Andrew Weil,Hudson Street,1594630666,9.78159E+12,Hardcover Nonfiction,9/27/2009,0,,
3947,SHOP CLASS AS SOULCRAFT,Matthew B Crawford,Penguin Press,1594202230,9.78159E+12,Hardcover Nonfiction,9/27/2009,0,,
3948,ZEITOUN,Dave Eggers,McSweeney’s,1934781630,9.78193E+12,Hardcover Nonfiction,9/27/2009,0,,
3949,THE MISSING,Beverly Lewis,Bethany House,764207245,9.78076E+12,Trade Fiction Paperback,9/27/2009,1,,
3950,THE KITE RUNNER,Khaled Hosseini,Riverhead,1594481776,9.78159E+12,Trade Fiction Paperback,9/27/2009,92,,
3951,UNACCUSTOMED EARTH,Jhumpa Lahiri,Vintage Contemporaries,307278255,9.78031E+12,Trade Fiction Paperback,9/27/2009,23,,
3952,THE SHADOW OF THE WIND,Carlos Ruiz Zafón,Penguin,143034901,9.78014E+12,Trade Fiction Paperback,9/27/2009,9,,
3953,MY STROKE OF INSIGHT,Jill Bolte Taylor,Plume,452295548,9.78045E+12,Paperback Nonfiction,9/27/2009,11,,
3954,TRUCKERY RHYMES,Jon Scieszka,Simon & Schuster,1416941355,9.78142E+12,Picture Books,9/27/2009,3,,
3955,GOLDILICIOUS,Victoria Kann,Harper/HarperCollins,61244082,9.78006E+12,Picture Books,9/27/2009,16,,
3956,MARLEY GOES TO SCHOOL,John Grogan,HarperCollins,61561517,9.78006E+12,Picture Books,9/27/2009,7,,
3957,SWING!,Rufus Butler Seder,Workman,761151273,9.78076E+12,Picture Books,9/27/2009,48,,
3958,STREGA NONA'S HARVEST,Tomie dePaola,Putnam,399252916,9.7804E+12,Picture Books,9/27/2009,1,,
3959,LOOK TO THE STARS,Buzz Aldrin,Putnam,399247211,9.7804E+12,Picture Books,9/27/2009,1,,
3960,OCEANOLOGY,Ferdinand Zoticus deLessups,Candlewick Press,763642908,9.78076E+12,Picture Books,9/27/2009,2,,
3961,VAMPIRE ACADEMY,Richelle Mead,"Razorbill, paper only",1595141979,9.7816E+12,Series Books,9/27/2009,10,,
3962,THE MORTAL INSTRUMENTS,Cassandra Clare,"McElderry/Simon & Schuster, hardcover and paper",1416972242,9.78142E+12,Series Books,9/27/2009,25,,
3963,PRIVATE,Kate Brian,"Simon Pulse, paper only",1416958835,9.78142E+12,Series Books,9/27/2009,5,,
3964,MAGIC TREE HOUSE,Mary Pope Osborne.,"Stepping Stone/Random House, hardcover and paper",067989070X,9.78068E+12,Series Books,9/27/2009,212,,
3965,SMASH CUT,Sandra Brown,Simon & Schuster,1416563083,9.78142E+12,Hardcover Fiction,8/30/2009,1,,
3966,BEST FRIENDS FOREVER,Jennifer Weiner,Atria,743294297,9.78074E+12,Hardcover Fiction,8/30/2009,5,,
3967,SWIMSUIT,James Patterson and Maxine Paetro,"Little, Brown",316018775,9.78032E+12,Hardcover Fiction,8/30/2009,7,,
3968,THE MAGICIANS,Lev Grossman,Viking,1101081449,9.7811E+12,Hardcover Fiction,8/30/2009,1,,
3969,THE DEFECTOR,Daniel Silva,Putnam,399155686,9.7804E+12,Hardcover Fiction,8/30/2009,4,,
3970,INHERENT VICE,Thomas Pynchon,Penguin Press,1594202249,9.78159E+12,Hardcover Fiction,8/30/2009,2,,
3971,BAD MOON RISING,Sherrilyn Kenyon,St. Martin’s,1429983760,9.78143E+12,Hardcover Fiction,8/30/2009,2,,
3972,BLINDMAN'S BLUFF,Faye Kellerman,Morrow/HarperCollins,61702323,9.78006E+12,Hardcover Fiction,8/30/2009,1,,
3973,INTERVENTION,Robin Cook,Putnam,399155708,9.7804E+12,Hardcover Fiction,8/30/2009,1,,
3974,RULES OF VENGEANCE,Christopher Reich,Doubleday,385524072,9.78039E+12,Hardcover Fiction,8/30/2009,0,,
3975,THE TRAFFICKERS,WEB Griffin and William E Butterworth IV,Putnam,399155864,9.7804E+12,Hardcover Fiction,8/30/2009,0,,
3976,TWENTIES GIRL,Sophie Kinsella,Dial,385342020,9.78039E+12,Hardcover Fiction,8/30/2009,0,,
3977,FINGER LICKIN’ FIFTEEN,Janet Evanovich,St. Martin’s,312383282,9.78031E+12,Hardcover Fiction,8/30/2009,0,,
3978,THE WILDERNESS WARRIOR,Douglas Brinkley,Harper/HarperCollins,60565284,9.78006E+12,Hardcover Nonfiction,8/30/2009,3,,
3979,"THE BATTLE FOR AMERICA, 2008",Dan Balz and Haynes Johnson,Viking,670021113,9.78067E+12,Hardcover Nonfiction,8/30/2009,2,,
3980,MY JOURNEY WITH FARRAH,Alana Stewart,Morrow/HarperCollins,61960586,9.78006E+12,Hardcover Nonfiction,8/30/2009,1,,
3981,IN FED WE TRUST,David Wessel,Crown Business,307459683,9.78031E+12,Hardcover Nonfiction,8/30/2009,2,,
3982,MICHAEL JACKSON,J Randy Taraborrelli,Grand Central,446564745,9.78045E+12,Hardcover Nonfiction,8/30/2009,3,,
3983,THE ACCIDENTAL BILLIONAIRES,Ben Mezrich,Doubleday,385529376,9.78039E+12,Hardcover Nonfiction,8/30/2009,5,,
3984,BOBBY AND JACKIE,C David Heymann,Atria,1416556249,9.78142E+12,Hardcover Nonfiction,8/30/2009,5,,
3985,A COLOSSAL FAILURE OF COMMON SENSE,Lawrence G McDonald and Patrick Robinson,Crown Business,307588335,9.78031E+12,Hardcover Nonfiction,8/30/2009,4,,
3986,UNMASKED,Ian Halperin,Simon Spotlight Entertainment,1439177171,9.78144E+12,Hardcover Nonfiction,8/30/2009,0,,
3987,THE END OF OVEREATING,David A Kessler,Rodale,1605297852,9.78161E+12,Hardcover Nonfiction,8/30/2009,0,,
3988,HOW THE MIGHTY FALL,Jim Collins,Jim Collins/HarperCollins,977326411,9.78098E+12,Hardcover Nonfiction,8/30/2009,0,,
3989,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416954120,9.78142E+12,Hardcover Nonfiction,8/30/2009,0,,
3990,A MERCY,Toni Morrison,Vintage International,307276767,9.78031E+12,Trade Fiction Paperback,8/30/2009,1,,
3991,MY SISTER’S KEEPER,Jodi Picoult,Washington Square,743454537,9.78074E+12,Trade Fiction Paperback,8/30/2009,47,,
3992,THE LIKENESS,Tana French,Penguin,143115626,9.78014E+12,Trade Fiction Paperback,8/30/2009,10,,
3993,THE OTHER QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,1416549145,9.78142E+12,Trade Fiction Paperback,8/30/2009,5,,
3994,THE MONSTER OF FLORENCE,Douglas Preston with Mario Spezi,Grand Central,446581275,9.78045E+12,Paperback Nonfiction,8/30/2009,6,,
3995,TRAFFIC,Tom Vanderbilt,Vintage,307277194,9.78031E+12,Paperback Nonfiction,8/30/2009,1,,
3996,SWAY,Ori Brafman and Rom Brafman,Broadway,385530609,9.78039E+12,Paperback Nonfiction,8/30/2009,4,,
3997,EXPLORER EXTRAORDINAIRE!,Jane O’Connor,HarperCollins,61684864,9.78006E+12,Picture Books,8/30/2009,16,,
3998,TEA PARTIES,Jane O’Connor,Harper/HarperCollins,61801747,9.78006E+12,Picture Books,8/30/2009,7,,
3999,LLAMA LLAMA MISSES MAMA,Anna Dewdney,Viking,670061980,9.78067E+12,Picture Books,8/30/2009,16,,
4000,ELEPHANTS CANNOT DANCE!,Mo Willems,Hyperion Books for Children/Disney,1423114108,9.78142E+12,Picture Books,8/30/2009,10,,
4001,RANGER’S APPRENTICE,John Flanagan,"Philomel, hardcover and paper",399244565,9.7804E+12,Series Books,8/30/2009,30,,
4002,BLACK HILLS,Nora Roberts,Putnam,399155872,9.7804E+12,Hardcover Fiction,8/2/2009,2,,
4003,RAIN GODS,James Lee Burke,Simon & Schuster,1439128243,9.78144E+12,Hardcover Fiction,8/2/2009,1,,
4004,THE DOOMSDAY KEY,James Rollins,Morrow/HarperCollins,61231401,9.78006E+12,Hardcover Fiction,8/2/2009,4,,
4005,THE DEVIL’S PUNCHBOWL,Greg Iles,Scribner,743292510,9.78074E+12,Hardcover Fiction,8/2/2009,2,,
4006,THE APOSTLE,Brad Thor,Atria,1416586571,9.78142E+12,Hardcover Fiction,8/2/2009,3,,
4007,GUARDIAN OF LIES,Steve Martini,Morrow/HarperCollins,61230901,9.78006E+12,Hardcover Fiction,8/2/2009,1,,
4008,THE CASTAWAYS,Elin Hilderbrand,"Little, Brown",316076317,9.78032E+12,Hardcover Fiction,8/2/2009,2,,
4009,SHANGHAI GIRLS,Lisa See,Random House,1400067111,9.7814E+12,Hardcover Fiction,8/2/2009,8,,
4010,UNDONE,Karin Slaughter,Delacorte,385341962,9.78039E+12,Hardcover Fiction,8/2/2009,1,,
4011,RETURN TO SULLIVANS ISLAND,Dorothea Benton Frank,Morrow/HarperCollins,61438456,9.78006E+12,Hardcover Fiction,8/2/2009,3,,
4012,BURN,Linda Howard,Ballantine,345486560,9.78035E+12,Hardcover Fiction,8/2/2009,0,,
4013,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,Voice,1401340903,9.7814E+12,Hardcover Fiction,8/2/2009,0,,
4014,THE BOURNE DECEPTION,Eric Van Lustbader,Grand Central,446539821,9.78045E+12,Hardcover Fiction,8/2/2009,0,,
4015,KNOCKOUT,Catherine Coulter,Putnam,399155848,9.7804E+12,Hardcover Fiction,8/2/2009,0,,
4016,HORSE SOLDIERS,Doug Stanton,Scribner,1416580514,9.78142E+12,Hardcover Nonfiction,8/2/2009,10,,
4017,THE BECKHAM EXPERIMENT,Grant Wahl,Crown,030740787X,9.78031E+12,Hardcover Nonfiction,8/2/2009,1,,
4018,MOMMYWOOD,Tori Spelling with Hilary Liftin,Simon Spotlight Entertainment,141659910X,9.78142E+12,Hardcover Nonfiction,8/2/2009,6,,
4019,TEARS IN THE DARKNESS,Michael Norman and Elizabeth M Norman,"Farrar, Straus & Giroux",374272603,9.78037E+12,Hardcover Nonfiction,8/2/2009,4,,
4020,THE GIRLS FROM AMES,Jeffrey Zaslow,Gotham,1592404456,9.78159E+12,Hardcover Nonfiction,8/2/2009,12,,
4021,MAGNIFICENT DESOLATION,Buzz Aldrin with Ken Abraham,Harmony,307463451,9.78031E+12,Hardcover Nonfiction,8/2/2009,2,,
4022,THE EVOLUTION OF GOD,Robert Wright,"Little, Brown",316734918,9.78032E+12,Hardcover Nonfiction,8/2/2009,2,,
4023,ROCKET MEN,Craig Nelson,Viking,670021032,9.78067E+12,Hardcover Nonfiction,8/2/2009,1,,
4024,RESILIENCE,Elizabeth Edwards,Broadway,076793136X,9.78077E+12,Hardcover Nonfiction,8/2/2009,0,,
4025,A SUMMER AFFAIR,Elin Hilderbrand,"Back Bay/Little, Brown",316018619,9.78032E+12,Trade Fiction Paperback,8/2/2009,6,,
4026,NETHERLAND,Joseph O'Neill,Vintage Contemporaries,307388778,9.78031E+12,Trade Fiction Paperback,8/2/2009,4,,
4027,TESTIMONY,Anita Shreve,"Back Bay/Little, Brown",316067342,9.78032E+12,Trade Fiction Paperback,8/2/2009,8,,
4028,IN THE WOODS,Tana French,Penguin,670038601,9.78067E+12,Trade Fiction Paperback,8/2/2009,22,,
4029,MICHAEL JACKSON,edited  Joe Funk,Triumph,1600783481,9.7816E+12,Paperback Nonfiction,8/2/2009,2,,
4030,PUBLIC ENEMIES,Bryan Burrough,Penguin,143115863,9.78014E+12,Paperback Nonfiction,8/2/2009,6,,
4031,STUPID AMERICAN HISTORY,Leland Gregory,Andrews McMeel,740779915,9.78074E+12,Paperback Nonfiction,8/2/2009,2,,
4032,LADYBUG GIRL AND BUMBLEBEE BOY,David Soman and Jacky Davis,Dial,803733399,9.7808E+12,Picture Books,8/2/2009,18,,
4033,DUCK! RABBIT!,Amy Krouse Rosenthal,Chronicle,811868656,9.78081E+12,Picture Books,8/2/2009,8,,
4034,WICKED,Nancy Holder and Debbie Viguié,"Simon Pulse, paper only",1416972277,9.78142E+12,Series Books,8/2/2009,2,,
4035,THE ANGEL'S GAME,Carlos Ruiz Zafón,Doubleday,385528701,9.78039E+12,Hardcover Fiction,7/5/2009,1,,
4036,RELENTLESS,Dean Koontz,Bantam,553807145,9.78055E+12,Hardcover Fiction,7/5/2009,2,,
4037,THE SCARECROW,Michael Connelly,"Little, Brown",316166308,9.78032E+12,Hardcover Fiction,7/5/2009,4,,
4038,MEDUSA,Clive Cussler and Paul Kemprecos,Putnam,399155651,9.7804E+12,Hardcover Fiction,7/5/2009,3,,
4039,THE NEIGHBOR,Lisa Gardner,Bantam,553807234,9.78055E+12,Hardcover Fiction,7/5/2009,1,,
4040,GONE TOMORROW,Lee Child,Delacorte,739328468,9.78074E+12,Hardcover Fiction,7/5/2009,5,,
4041,SKIN TRADE,Laurell K Hamilton,Berkley,425227723,9.78043E+12,Hardcover Fiction,7/5/2009,3,,
4042,FIRST FAMILY,David Baldacci,Grand Central,044654695X,9.78045E+12,Hardcover Fiction,7/5/2009,9,,
4043,DUNE ROAD,Jane Green,Viking,670020869,9.78067E+12,Hardcover Fiction,7/5/2009,1,,
4044,THE 8TH CONFESSION,James Patterson and Maxine Paetro,"Little, Brown",316018767,9.78032E+12,Hardcover Fiction,7/5/2009,8,,
4045,ROADSIDE CROSSES,Jeffery Deaver,Simon & Schuster,1416549994,9.78142E+12,Hardcover Fiction,7/5/2009,0,,
4046,MATTERS OF THE HEART,Danielle Steel,Delacorte,385340273,9.78039E+12,Hardcover Fiction,7/5/2009,0,,
4047,A ROGUE OF MY OWN,Johanna Lindsey,Simon & Schuster,141659888X,9.78142E+12,Hardcover Fiction,7/5/2009,0,,
4048,RENEGADE,Richard Wolffe,Crown,307463125,9.78031E+12,Hardcover Nonfiction,7/5/2009,3,,
4049,HOME GAME,Michael Lewis,Norton,039306901X,9.78039E+12,Hardcover Nonfiction,7/5/2009,3,,
4050,THE LAST BEST HOPE,Joe Scarborough,Crown Forum,307463699,9.78031E+12,Hardcover Nonfiction,7/5/2009,2,,
4051,ARE YOU KIDDING ME?,Rocco Mediate and John Feinstein,"Little, Brown",316049107,9.78032E+12,Hardcover Nonfiction,7/5/2009,1,,
4052,THE YANKEE YEARS,Joe Torre and Tom Verducci,Doubleday,385527403,9.78039E+12,Hardcover Nonfiction,7/5/2009,14,,
4053,CRAZY FOR THE STORM,Norman Ollestad,Ecco,61766720,9.78006E+12,Hardcover Nonfiction,7/5/2009,1,,
4054,PRAIRIE TALE,Melissa Gilbert,Simon Spotlight Entertainment,1416599142,9.78142E+12,Hardcover Nonfiction,7/5/2009,2,,
4055,SATCHEL,Larry Tye,Random House,1400066514,9.7814E+12,Hardcover Nonfiction,7/5/2009,2,,
4056,ALWAYS LOOKING UP,Michael J Fox,Hyperion,1401303382,9.7814E+12,Hardcover Nonfiction,7/5/2009,12,,
4057,RED AND ME,Bill Russell with Alan Steinberg,Harper,61766143,9.78006E+12,Hardcover Nonfiction,7/5/2009,0,,
4058,HOUSE OF CARDS,William D Cohan,Doubleday,385528264,9.78039E+12,Hardcover Nonfiction,7/5/2009,0,,
4059,VISION IN WHITE,Nora Roberts,Berkley,425227510,9.78043E+12,Trade Fiction Paperback,7/5/2009,8,,
4060,THE BEACH HOUSE,Jane Green,Plume,452295386,9.78045E+12,Trade Fiction Paperback,7/5/2009,4,,
4061,CITY OF THIEVES,David Benioff,Plume,452295297,9.78045E+12,Trade Fiction Paperback,7/5/2009,12,,
4062,ONE FIFTH AVENUE,Candace Bushnell,Voice/Hyperion,1401341055,9.7814E+12,Trade Fiction Paperback,7/5/2009,2,,
4063,AN INCONVENIENT BOOK,Glenn Beck,Threshold Editions,1416560440,9.78142E+12,Paperback Nonfiction,7/5/2009,6,,
4064,TOO FAT TO FISH,Artie Lange with Anthony Bozza,Spiegel & Grau,385526571,9.78039E+12,Paperback Nonfiction,7/5/2009,3,,
4065,AMERICAN LION,Jon Meacham,Random House,1400063256,9.7814E+12,Paperback Nonfiction,7/5/2009,7,,
4066,LIBERAL FASCISM,Jonah Goldberg,Broadway,767917189,9.78077E+12,Paperback Nonfiction,7/5/2009,3,,
4067,DREAMS FROM MY FATHER,Barack Obama,Three Rivers,1400082773,9.7814E+12,Paperback Nonfiction,7/5/2009,153,,
4068,CRAZY HAIR,written  Neil Gaiman   Dave McKean,HarperCollins,60579080,9.78006E+12,Picture Books,7/5/2009,2,,
4069,GALLAGHER GIRLS,Ally Carter,"Disney-Hyperion, hardcover and paper",1423116380,9.78142E+12,Series Books,7/5/2009,2,,
4070,PENDRAGON,D J MacHale,"Aladdin, hardcover and paper",1416914188,9.78142E+12,Series Books,7/5/2009,76,,
4071,WICKED PREY,John Sandford,Putnam,399155678,9.7804E+12,Hardcover Fiction,6/7/2009,2,,
4072,CEMETERY DANCE,Douglas Preston and Lincoln Child,Grand Central,446580295,9.78045E+12,Hardcover Fiction,6/7/2009,2,,
4073,PYGMY,Chuck Palahniuk,Doubleday,385526342,9.78039E+12,Hardcover Fiction,6/7/2009,3,,
4074,THE SIGN,Raymond Khoury,Dutton,525950974,9.78053E+12,Hardcover Fiction,6/7/2009,1,,
4075,SEDUCING AN ANGEL,Mary Balogh,Delacorte,385341059,9.78039E+12,Hardcover Fiction,6/7/2009,1,,
4076,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,Pantheon,375424490,9.78038E+12,Hardcover Fiction,6/7/2009,5,,
4077,ASSEGAI,Wilbur Smith,Thomas Dunne/St. Martin’s,312567243,9.78031E+12,Hardcover Fiction,6/7/2009,2,,
4078,ROAD DOGS,Elmore Leonard,William Morrow,61733148,9.78006E+12,Hardcover Fiction,6/7/2009,2,,
4079,JUST TAKE MY HEART,Mary Higgins Clark,Simon & Schuster,1416570861,9.78142E+12,Hardcover Fiction,6/7/2009,7,,
