,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
93,NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9.78134E+12,Young Adult Hardcover,4/9/2023,12,4,5
94,THE STOLEN HEIR,Holly Black,"Little, Brown",316592706,9.78032E+12,Young Adult Hardcover,4/9/2023,12,5,4
95,LIGHTLARK,Alex Aster,Amulet,1419760866,9.78142E+12,Young Adult Hardcover,4/9/2023,31,4,3
96,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,63240807,9.78006E+12,Young Adult Hardcover,4/9/2023,25,4,1
97,SHE IS A HAUNTING,Trang Thanh Tran,Bloomsbury,None,9.78155E+12,Young Adult Hardcover,4/9/2023,4,4,2
98,A THOUSAND HEARTBEATS,Kiera Cass,HarperTeen,62665782,9.78006E+12,Young Adult Hardcover,4/9/2023,14,4,3
99,THE DAVENPORTS,Krystal Marquis,Dial,593463331,9.78059E+12,Young Adult Hardcover,4/9/2023,8,4.5,2
100,THE SINISTER BOOKSELLERS OF BATH,Garth Nix,HarperTeen,63236338,9.78006E+12,Young Adult Hardcover,4/9/2023,1,4,3
101,LOVELESS,Alice Oseman,Scholastic,133875193X,9.78134E+12,Young Adult Hardcover,4/9/2023,33,4,6
102,STORM WATCH,C.J. Box,Putnam,593331311,9.78059E+12,Combined Print and E-Book Fiction,3/19/2023,1,4,3
103,A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,1635577926,9.78164E+12,Combined Print and E-Book Fiction,3/19/2023,1,5,1
104,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,1984879308,9.78198E+12,Combined Print and E-Book Fiction,3/19/2023,4,4.5,3
105,ENCHANTMENT,Katherine May,Riverhead,593329996,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,1,,
106,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,593230574,9.78059E+12,Combined Print and E-Book Nonfiction,3/19/2023,29,,
107,THE ADVENTURES OF AMINA AL-SIRAFI,Shannon Chakraborty,Harper Voyager,62963503,9.78006E+12,Hardcover Fiction,3/19/2023,1,4.5,2
108,THE BOYS FROM BILOXI,John Grisham,Doubleday,385548923,9.78039E+12,Hardcover Fiction,3/19/2023,20,4,19
109,THE MIDNIGHT LIBRARY,Matt Haig,Viking,525559477,9.78053E+12,Hardcover Fiction,3/19/2023,106,3.5,148
110,FAIRY TALE,Stephen King,Scribner,1668002175,9.78167E+12,Hardcover Fiction,3/19/2023,26,3.5,24
111,THE HOUSE IN THE PINES,Ana Reyes,Dutton,593186710,9.78059E+12,Hardcover Fiction,3/19/2023,9,3.5,5
112,MURDER YOUR EMPLOYER,Rupert Holmes,Avid Reader,1451648219,9.78145E+12,Hardcover Fiction,3/19/2023,2,5,3
113,THE MYTH OF NORMAL,Gabor Maté with Daniel Maté,Avery,593083881,9.78059E+12,Hardcover Nonfiction,3/19/2023,17,,
114,NEVER GIVE AN INCH,Mike Pompeo,Broadside,63247445,9.78006E+12,Hardcover Nonfiction,3/19/2023,6,4,1
115,"LOVE, PAMELA",Pamela Anderson,Dey Street,63226561,9.78006E+12,Hardcover Nonfiction,3/19/2023,5,5,1
116,THE HUMANITY ARCHIVE,Jermaine Fowler,Row House,1955905142,9.78196E+12,Hardcover Nonfiction,3/19/2023,1,,
