Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
YOU WERE ALWAYS MOM’S FAVORITE,Deborah Tannen,Random House,Penguin Random House,9.7814E+12,Hardcover Nonfiction,9/27/09,1
REPUBLICAN GOMORRAH,Max Blumenthal,Nation  Books,,9.78157E+12,Hardcover Nonfiction,9/27/09,1
A BIG LITTLE LIFE,Dean Koontz,Hyperion,Disney Publishing Worldwide,9.7814E+12,Hardcover Nonfiction,9/27/09,3
CATASTROPHE,Dick Morris and Eileen McGann,Harper/HarperCollins,HarperCollins,9.78006E+12,Hardcover Nonfiction,9/27/09,0
WHY OUR HEALTH MATTERS,Andrew Weil,Hudson Street,,9.78159E+12,Hardcover Nonfiction,9/27/09,0
SHOP CLASS AS SOULCRAFT,Matthew B Crawford,Penguin Press,Penguin Random House,9.78159E+12,Hardcover Nonfiction,9/27/09,0
ZEITOUN,Dave Eggers,McSweeney’s,,9.78193E+12,Hardcover Nonfiction,9/27/09,0
THE TIME TRAVELER'S WIFE,Audrey Niffenegger,Harvest/Harcourt,Houghton Mifflin Harcourt,9.78016E+12,Trade Fiction Paperback,9/27/09,13
THE SHACK,William P Young,Windblown Media,Windblown Media,9.78096E+12,Trade Fiction Paperback,9/27/09,69
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Vintage,Penguin Random House,9.78031E+12,Trade Fiction Paperback,9/27/09,12
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,Penguin Random House,9.78039E+12,Trade Fiction Paperback,9/27/09,19
OLIVE KITTERIDGE,Elizabeth Strout,Random House,Penguin Random House,9.7814E+12,Trade Fiction Paperback,9/27/09,21
THE LUCKY ONE,Nicholas Sparks,Grand Central,Grand Central,9.78045E+12,Trade Fiction Paperback,9/27/09,5
THE ART OF RACING IN THE RAIN,Garth Stein,Harper Paperbacks,HarperCollins,9.78006E+12,Trade Fiction Paperback,9/27/09,14
HOME,Marilynne Robinson,Picador,Holtzbrinck Publishing Group/Macmillan,9.78031E+12,Trade Fiction Paperback,9/27/09,2
THE ELEGANCE OF THE HEDGEHOG,Muriel Barbery,Europa,,9.78193E+12,Trade Fiction Paperback,9/27/09,35
PRIDE AND PREJUDICE AND ZOMBIES,Jane Austen and Seth Grahame-Smith,Quirk,Quirk Books,9.78159E+12,Trade Fiction Paperback,9/27/09,24
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,HarperCollins,9.78006E+12,Trade Fiction Paperback,9/27/09,1
THE MISSING,Beverly Lewis,Bethany House,,9.78076E+12,Trade Fiction Paperback,9/27/09,1
THE ALCHEMIST,Paulo Coelho,HarperOne,HarperCollins,9.78006E+12,Trade Fiction Paperback,9/27/09,104
THE WEIGHT OF SILENCE,Heather Gudenkauf,Mira,HarperCollins,9.78143E+12,Trade Fiction Paperback,9/27/09,7
THE LOVELY BONES,Alice Sebold,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Trade Fiction Paperback,9/27/09,5
SARAH’S KEY,Tatiana de Rosnay,St. Martin's Griffin,Macmillan Publishers,9.78031E+12,Trade Fiction Paperback,9/27/09,31
THE KITE RUNNER,Khaled Hosseini,Riverhead,Penguin Random House,9.78159E+12,Trade Fiction Paperback,9/27/09,92
UNACCUSTOMED EARTH,Jhumpa Lahiri,Vintage Contemporaries,,9.78031E+12,Trade Fiction Paperback,9/27/09,23
PUSH,Sapphire,Vintage,Penguin Random House,9.78068E+12,Trade Fiction Paperback,9/27/09,3
THE SHADOW OF THE WIND,Carlos Ruiz Zafón,Penguin,Penguin Random House,9.78014E+12,Trade Fiction Paperback,9/27/09,9
GLENN BECK’S ‘COMMON SENSE’,Glenn Beck,Mercury Radio Arts/Threshold Editions,Hachette Book,9.78144E+12,Paperback Nonfiction,9/27/09,14
MY LIFE IN FRANCE,Julia Child with Alex Prud’homme,Anchor,Penguin Random House,9.78031E+12,Paperback Nonfiction,9/27/09,11
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,9/27/09,137
FREAKONOMICS,Steven D Levitt and Stephen J Dubner,Harper Perennial,HarperCollins,9.78006E+12,Paperback Nonfiction,9/27/09,3
JULIE & JULIA,Julie Powell,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,9/27/09,11
THE GLASS CASTLE,Jeannette Walls,Scribner,Simon & Schuster,9.78074E+12,Paperback Nonfiction,9/27/09,143
I HOPE THEY SERVE BEER IN HELL,Tucker Max,Citadel/Kensington,Kensington Publishing Corp.,9.78081E+12,Paperback Nonfiction,9/27/09,102
TIPPING POINT,Malcolm Gladwell,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,9/27/09,258
WHEN YOU ARE ENGULFED IN FLAMES,David Sedaris,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,9/27/09,15
BLINK,Malcolm Gladwell,"Back Bay/Little, Brown",Hachette Book,9.78032E+12,Paperback Nonfiction,9/27/09,100
MY HORIZONTAL LIFE,Chelsea Handler,Bloomsbury,Bloomsbury Publishing,9.78158E+12,Paperback Nonfiction,9/27/09,46
MY STROKE OF INSIGHT,Jill Bolte Taylor,Plume,Penguin Random House,9.78045E+12,Paperback Nonfiction,9/27/09,11
THE FAMILY,Jeff Sharlet,Harper Perennial,HarperCollins,9.78006E+12,Paperback Nonfiction,9/27/09,9
THE REASON FOR GOD,Timothy Keller,Riverhead,Penguin Random House,9.78053E+12,Paperback Nonfiction,9/27/09,6
90 MINUTES IN HEAVEN,Don Piper with Cecil Murphey,Revell,,9.7808E+12,Paperback Nonfiction,9/27/09,151
THE OMNIVORE’S DILEMMA,Michael Pollan,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,9/27/09,104
IN DEFENSE OF FOOD,Michael Pollan,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,9/27/09,20
LONE SURVIVOR,Marcus Luttrell with Patrick Robinson,"Back Bay/Little, Brown, $15",,9.78032E+12,Paperback Nonfiction,9/27/09,43
"EAT, PRAY, LOVE",Elizabeth Gilbert,Penguin,Penguin Random House,9.78014E+12,Paperback Nonfiction,9/27/09,137
SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,Nelson,,9.78085E+12,Paperback Nonfiction,9/27/09,48
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth,Dial,Penguin Random House,9.7808E+12,Picture Books,9/27/09,33
DEWEY,Vicki Myron with Bret Witter,"Little, Brown",Hachette Book,9.78045E+12,Picture Books,9/27/09,2
TRUCKERY RHYMES,Jon Scieszka,Simon & Schuster,Simon & Schuster,9.78142E+12,Picture Books,9/27/09,3
GOLDILICIOUS,Victoria Kann,Harper/HarperCollins,HarperCollins,9.78006E+12,Picture Books,9/27/09,16
GALLOP!,Rufus Butler Seder,Workman,Hachette Book,9.78076E+12,Picture Books,9/27/09,96
MARLEY GOES TO SCHOOL,John Grogan,HarperCollins,HarperCollins,9.78006E+12,Picture Books,9/27/09,7
SWING!,Rufus Butler Seder,Workman,Hachette Book,9.78076E+12,Picture Books,9/27/09,48
STREGA NONA'S HARVEST,Tomie dePaola,Putnam,Penguin Random House,9.7804E+12,Picture Books,9/27/09,1
LOOK TO THE STARS,Buzz Aldrin,Putnam,Penguin Random House,9.7804E+12,Picture Books,9/27/09,1
OCEANOLOGY,Ferdinand Zoticus deLessups,Candlewick Press,,9.78076E+12,Picture Books,9/27/09,2
THE TWILIGHT SAGA,Stephenie Meyer,"Megan Tingley/Little, Brown",Hachette Book,9.78032E+12,Series Books,9/27/09,110
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,Disney Publishing Worldwide,9.78142E+12,Series Books,9/27/09,114
VAMPIRE DIARIES,L J Smith,HarperTeen,HarperCollins,9.78006E+12,Series Books,9/27/09,20
DIARY OF A WIMPY KID,and   Jeff Kinney,Abrams,Abrams,9.78081E+12,Series Books,9/27/09,35
VAMPIRE ACADEMY,Richelle Mead,Razorbill,Penguin Random House,9.7816E+12,Series Books,9/27/09,10
HOUSE OF NIGHT,PC Cast and Kristin Cast,St. Martin's,Macmillan Publishers,9.78031E+12,Series Books,9/27/09,55
THE MORTAL INSTRUMENTS,Cassandra Clare,McElderry/Simon & Schuster,,9.78142E+12,Series Books,9/27/09,25
PRIVATE,Kate Brian,Simon Pulse,,9.78142E+12,Series Books,9/27/09,5
THE 39 CLUES,various authors,Scholastic,Scholastic,9.78055E+12,Series Books,9/27/09,19
MAGIC TREE HOUSE,Mary Pope Osborne.,"Stepping Stone/Random House, hardcover and paper",,9.78068E+12,Series Books,9/27/09,212
SOUTH OF BROAD,Pat Conroy,Nan A. Talese/Doubleday,Penguin Random House,9.78039E+12,Hardcover Fiction,8/30/09,1
SMASH CUT,Sandra Brown,Simon & Schuster,Simon & Schuster,9.78142E+12,Hardcover Fiction,8/30/09,1
THE HELP,Kathryn Stockett,Amy Einhorn/Putnam,Penhuin Random House,9.7804E+12,Hardcover Fiction,8/30/09,20
THAT OLD CAPE MAGIC,Richard Russo,Knopf,Penguin Random House,9.78038E+12,Hardcover Fiction,8/30/09,2
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf,Penguin Random House,9.78031E+12,Hardcover Fiction,8/30/09,3
THE ELEVENTH VICTIM,Nancy Grace,Hyperion,Disney Publishing Worldwide,9.7814E+12,Hardcover Fiction,8/30/09,1
BEST FRIENDS FOREVER,Jennifer Weiner,Atria,Simon & Schuster,9.78074E+12,Hardcover Fiction,8/30/09,5
SWIMSUIT,James Patterson and Maxine Paetro,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Fiction,8/30/09,7
THE MAGICIANS,Lev Grossman,Viking,Penguin Random House,9.7811E+12,Hardcover Fiction,8/30/09,1
THE DEFECTOR,Daniel Silva,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,8/30/09,4
INHERENT VICE,Thomas Pynchon,Penguin Press,Penguin Random House,9.78159E+12,Hardcover Fiction,8/30/09,2
BAD MOON RISING,Sherrilyn Kenyon,St. Martin's,Macmillan Publishers,9.78143E+12,Hardcover Fiction,8/30/09,2
